Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Stars KTV and Lounge,"Cocktails and light snacks in a glitzy, colourful karaoke bar with lasers and 200,000 songs on file.","Level 1-4/186 Bourke St, Melbourne VIC 3000",Level 1-4/186 Bourke St,Melbourne VIC 3000,"Karaoke bar, Lounge","Service options: [Dine-in, No delivery, No takeaway], Highlights: [Bar games, Karaoke], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments]",4RJ65XP9+W3,Australia/Melbourne,$20�?0,,,,0450 498 383,"0450 498 383, +61 450 498 383",YES,Stars KTV and Lounge (owner),1.18E+20,https://www.google.com/maps/contrib/117624116961452406884,,,1088,4.3,https://search.google.com/local/reviews?placeid=ChIJYSNWkclC1moRtPIPfql9pi4&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3361512338796573364,https://www.google.com/search?kgmid=/g/1pwfx_q0r,-37.8127324,144.9677424,http://starsktv.com.au/,starsktv.com.au,"Tuesday: [12-4 am, 6 pm-12 am], Wednesday: [12-4 am, 6 pm-12 am], Thursday: [12-4 am, 6 pm-12 am], Friday: [12-4 am, 3 pm-12 am], Saturday: [12-6 am, 3 pm-12 am], Sunday: [12-6 am, 3 pm-12 am], Monday: [12-4 am, 6 pm-12 am]",https://lh5.googleusercontent.com/p/AF1QipNEokGwPzxrd5Bw6whGJ-h0T5j08YGO60ecHydE=w137-h92-k-no,3.36E+18,0x6ad642c991562361:0x2ea67da97e0ff2b4,ChIJYSNWkclC1moRtPIPfql9pi4,/g/1pwfx_q0r
Lychee Karaoke Bar 荔枝KTV （北辰）,,"Level 1/215 Bourke St, Melbourne VIC 3000",Level 1/215 Bourke St,Melbourne VIC 3000,"Karaoke bar, Bar","Service options: [On-site services, Dine-in, No delivery, No takeaway], Highlights: [Bar games, Great cocktails, Karaoke, Rooftop seating], Accessibility: [No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Happy-hour drinks, Happy-hour food, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]",4RJ65XP8+MW,Australia/Melbourne,$20�?0,,,,0450 519 899,"0450 519 899, +61 450 519 899",YES,Lychee Karaoke Bar 荔枝KTV （北辰） (owner),1.01E+20,https://www.google.com/maps/contrib/100972402758697764194,,,498,4.4,https://search.google.com/local/reviews?placeid=ChIJK56D81ZD1moREemMVRNGFOQ&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=16434837989035403537,https://www.google.com/search?kgmid=/g/11mc99921x,-37.8132623,144.9672923,https://instagram.com/lychee_karaoke_bar?igshid=mcg30ax8wbn3,instagram.com,"Tuesday: [4 pm-2 am], Wednesday: [4 pm-2 am], Thursday: [4 pm-4 am], Friday: [4 pm-4 am], Saturday: [4 pm-4 am], Sunday: [4 pm-2 am], Monday: [4 pm-2 am]",https://lh5.googleusercontent.com/p/AF1QipPjWqLUHLBXVLdbXYVPLbaXd59j360E-ZW4Mv6m=w122-h92-k-no,1.64E+19,0x6ad64356f3839e2b:0xe4144613558ce911,ChIJK56D81ZD1moREemMVRNGFOQ,/g/11mc99921x
Action Karaoke,,"1/242-244 Little Bourke St, Melbourne VIC 3000",1/242-244 Little Bourke St,Melbourne VIC 3000,Karaoke bar,"Service options: [Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Karaoke], Accessibility: [No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Food, Spirits, Wine], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Mobile payments]",4RJ65XQ8+37,Australia/Melbourne,$20�?0,,,,0411 803 803,"0411 803 803, +61 411 803 803",YES,Action Karaoke (owner),1.04E+20,https://www.google.com/maps/contrib/103573838453417103858,,,114,4.2,https://search.google.com/local/reviews?placeid=ChIJj8FkPspC1moRpzxKPtJc0zM&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3734430574078213287,https://www.google.com/search?kgmid=/g/11bwp6l1lw,-37.8122843,144.9656692,http://www.facebook.com/actionkaraoke/,facebook.com,"Tuesday: [8:30 pm-4 am], Wednesday: [8:30 pm-4 am], Thursday: [8:30 pm-4 am], Friday: [8:30 pm-4 am], Saturday: [8:30 pm-4 am], Sunday: [8:30 pm-4 am], Monday: [8:30 pm-4 am]",https://lh5.googleusercontent.com/p/AF1QipPfZoAbmxwZzgVMSGfPWBn9L_yBAFcg34iKGUtX=w163-h92-k-no,3.73E+18,0x6ad642ca3e64c18f:0x33d35cd23e4a3ca7,ChIJj8FkPspC1moRpzxKPtJc0zM,/g/11bwp6l1lw
Club Aeri KTV,,"1/193-195 Little Bourke St, Melbourne VIC 3000",1/193-195 Little Bourke St,Melbourne VIC 3000,Karaoke bar,"Service options: [Dine-in, No delivery, No takeaway], Highlights: [Karaoke], Offerings: [Alcohol, Beer, Cocktails, Food, Spirits, Wine], Dining options: [Outside food allowed, Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, ]",4RJ65XQ8+4P,Australia/Melbourne,,,,,(03) 9650 6403,"(03) 9650 6403, +61 3 9650 6403",NO,Club Aeri KTV (owner),,,,,29,4.1,https://search.google.com/local/reviews?placeid=ChIJnR1SiMlC1moRYvIu-m_Tgi8&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3423531144647209570,https://www.google.com/search?kgmid=/g/11c0rtr92b,-37.812227,144.966823,,,"Tuesday: [9 pm-4 am], Wednesday: [9 pm-4 am], Thursday: [9 pm-4 am], Friday: [9 pm-4 am], Saturday: [9 pm-4 am], Sunday: [Closed], Monday: [Closed]",https://lh5.googleusercontent.com/p/AF1QipPvmWk5DcXbDg3cNEJ_m0sXYVuyRdWfcltJMBRr=w92-h92-k-no,3.42E+18,0x6ad642c988521d9d:0x2f82d36ffa2ef262,ChIJnR1SiMlC1moRYvIu-m_Tgi8,/g/11c0rtr92b
9 Points KTV 九号会所,,"Level 1/18 Market Ln, Melbourne VIC 3000",Level 1/18 Market Ln,Melbourne VIC 3000,Karaoke bar,"Service options: [Dine-in, No delivery, No takeaway], Highlights: [Great cocktails], Offerings: [Alcohol, Beer, Cocktails, Food, Spirits, Wine], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards]",4RJ65XQ9+7Q,Australia/Melbourne,,,,,0411 063 754,"0411 063 754, +61 411 063 754",YES,9 Points KTV 九号会所 (owner),1.18E+20,https://www.google.com/maps/contrib/117765763157104494727,,,31,4.3,https://search.google.com/local/reviews?placeid=ChIJpaC_ID9D1moRkxRIiEjIi8s&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=14667036825311777939,https://www.google.com/search?kgmid=/g/11lm4l6k__,-37.811775,144.96939,,,"Tuesday: [9 pm-4 am], Wednesday: [9 pm-4 am], Thursday: [9 pm-4 am], Friday: [9 pm-4 am], Saturday: [9 pm-4 am], Sunday: [9 pm-4 am], Monday: [9 pm-4 am]",https://lh5.googleusercontent.com/p/AF1QipMIRlGGqFXA5nLTVS_aPg9OCc3kma7ZDcGY-L09=w80-h106-k-no,1.47E+19,0x6ad6433f20bfa0a5:0xcb8bc84888481493,ChIJpaC_ID9D1moRkxRIiEjIi8s,/g/11lm4l6k__
Galaxy KTV & Bar,,"45 Therry St, Melbourne VIC 3000",45 Therry St,Melbourne VIC 3000,Karaoke bar,"Service options: [Dine-in, No delivery, No takeaway], Highlights: [Bar games, Karaoke], Accessibility: [Wheelchair-accessible toilet], Offerings: [Alcohol, Arcade games, Beer, Cocktails, Food, Food at bar, Happy-hour drinks, Happy-hour food, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]",4RJ65XV6+56,Australia/Melbourne,$20�?0,,,,0477 941 577,"0477 941 577, +61 477 941 577",YES,Galaxy KTV & Bar (owner),1.11E+20,https://www.google.com/maps/contrib/110815071458250725775,,"instagram: https://www.instagram.com/galaxyktvbar
",192,4.9,https://search.google.com/local/reviews?placeid=ChIJn0vyS4pd1moR7AdM89DAVXg&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=8671048661239334892,https://www.google.com/search?kgmid=/g/11v4j6d_t7,-37.8070413,144.9606046,http://www.galaxyktvbar.com.au/,galaxyktvbar.com.au,"Tuesday: [7 pm-1 am], Wednesday: [7 pm-1 am], Thursday: [7 pm-1 am], Friday: [4 pm-1 am], Saturday: [4 pm-1 am], Sunday: [4 pm-1 am], Monday: [8 pm-1 am]",https://lh5.googleusercontent.com/p/AF1QipNbjLBjpqqw2YGjfHfBYPqFA8TMIRrQxi7vpRK5=w121-h92-k-no,8.67E+18,0x6ad65d8a4bf24b9f:0x7855c0d0f34c07ec,ChIJn0vyS4pd1moR7AdM89DAVXg,/g/11v4j6d_t7
Partyworld Karaoke,,"211 La Trobe St, Melbourne VIC 3000",211 La Trobe St,Melbourne VIC 3000,Karaoke bar,"Service options: [Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Karaoke], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]",4RJ65XQ6+VW,Australia/Melbourne,$$,,,,(03) 9938 8888,"(03) 9938 8888, +61 3 9938 8888",YES,Partyworld Karaoke (owner),1.03E+20,https://www.google.com/maps/contrib/103459455039638103755,,,687,3.8,https://search.google.com/local/reviews?placeid=ChIJZX0WHstC1moRVj5iH3SOor0&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=13664640848789388886,https://www.google.com/search?kgmid=/g/1tfrs1ft,-37.8103459,144.9623586,http://www.partyworldkaraoke.bar/,partyworldkaraoke.bar,"Tuesday: [1:30 pm-3 am], Wednesday: [1:30 pm-3 am], Thursday: [1:30 pm-3 am], Friday: [1:30 pm-3 am], Saturday: [1:30 pm-3 am], Sunday: [1:30 pm-3 am], Monday: [1:30 pm-3 am]",https://lh5.googleusercontent.com/p/AF1QipMgIohrbeRXHPedbE0S5nstnKZEny3o4a4DaHuQ=w138-h92-k-no,1.37E+19,0x6ad642cb1e167d65:0xbda28e741f623e56,ChIJZX0WHstC1moRVj5iH3SOor0,/g/1tfrs1ft
KBOX Karaoke Private Room Melbourne,"Karaoke spot with colourful private rooms furnished with big screens, plus drinks & snacks.","52 La Trobe St, Melbourne VIC 3000",52 La Trobe St,Melbourne VIC 3000,"Karaoke bar, Bar, Cocktail bar, Event venue, Function room facility, Gay bar, Gay night club, Night club, Piano bar, Pub","Service options: [Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Karaoke], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Dining options: [Outside food allowed, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid multi-storey car park, Paid street parking]",4RJ65XR8+MW,Australia/Melbourne,$20�?0,,,,(03) 9663 9663,"(03) 9663 9663, +61 3 9663 9663",YES,KBOX Karaoke Private Room Melbourne (owner),1.03E+20,https://www.google.com/maps/contrib/102524649611037689339,,"instagram: https://www.instagram.com/kboxmelbourne
facebook: https://www.facebook.com/kbox.melb
",1139,4.1,https://search.google.com/local/reviews?placeid=ChIJRTPjos5C1moRlsdDVK9ApJE&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=10494584153457280918,https://www.google.com/search?kgmid=/g/11gzytmxj,-37.808277,144.967257,https://kbox.com.au/,kbox.com.au,"Tuesday: [6 pm-2 am], Wednesday: [6 pm-2 am], Thursday: [6 pm-2 am], Friday: [5 pm-3:30 am], Saturday: [5 pm-3:30 am], Sunday: [6 pm-2 am], Monday: [6 pm-2 am]",https://lh5.googleusercontent.com/p/AF1QipPsp2x7-Me51m0FjJRhRVyXtae-oWieT7EzxQ9K=w138-h92-k-no,1.05E+19,0x6ad642cea2e33345:0x91a440af5443c796,ChIJRTPjos5C1moRlsdDVK9ApJE,/g/11gzytmxj
Yum Sing House Restaurant & Karaoke,,"22 Sutherland St, Melbourne VIC 3000",22 Sutherland St,Melbourne VIC 3000,"Chinese restaurant, Asian fusion restaurant, Asian restaurant, Bar, Cocktail bar, Event venue, Karaoke bar, Pan-Asian restaurant, Restaurant","Service options: [On-site services, Dine-in, No delivery], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Happy-hour drinks, Happy-hour food, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [High chairs, Kids' menu]",4RJ65XQ6+J9,Australia/Melbourne,,,,,(03) 8638 9070,"(03) 8638 9070, +61 3 8638 9070",YES,Yum Sing House Restaurant & Karaoke (owner),1.14E+20,https://www.google.com/maps/contrib/114489228907138840010,,"instagram: https://www.instagram.com/yumsinghouse
facebook: https://www.facebook.com/yumsinghouse
",473,4.8,https://search.google.com/local/reviews?placeid=ChIJzwKhdOFd1moRdcNIShZQKHY&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=8514143152209707893,https://www.google.com/search?kgmid=/g/11mr2lm_30,-37.8109947,144.9608988,http://www.yumsinghouse.com/,yumsinghouse.com,"Wednesday: [5:30 pm-1 am], Thursday: [5:30 pm-1 am], Friday: [5:30 pm-5 am], Saturday: [5:30 pm-5 am], Sunday: [Closed], Monday: [Closed], Tuesday: [5:30-10 pm]",https://lh5.googleusercontent.com/p/AF1QipOA_dWSGgBZEbB1tjLpJC4gm8bQkAnZ66XggSkU=w138-h92-k-no,8.51E+18,0x6ad65de174a102cf:0x762850164a48c375,ChIJzwKhdOFd1moRdcNIShZQKHY,/g/11mr2lm_30
Booths Karaoke,,"197 Little Lonsdale St, Melbourne VIC 3000",197 Little Lonsdale St,Melbourne VIC 3000,Karaoke bar,"Service options: [Dine-in, No delivery, No takeaway], Highlights: [Karaoke], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Free parking lot, Paid parking lot, ]",4RJ65XQ8+V6,Australia/Melbourne,$20�?0,,,,(03) 9688 8046,"(03) 9688 8046, +61 3 9688 8046",YES,Booths Karaoke (owner),1.17E+20,https://www.google.com/maps/contrib/117456395868620881020,,"instagram: https://www.instagram.com/boothskaraoke
facebook: https://www.facebook.com/boothskaraoke
",641,4.5,https://search.google.com/local/reviews?placeid=ChIJH4H0xf5D1moRSWR6ZyXOL5k&q=ktv&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=11038267871753561161,https://www.google.com/search?kgmid=/g/11tb93j0v0,-37.8103574,144.9655342,http://www.boothskaraoke.com.au/,boothskaraoke.com.au,"Tuesday: [2 pm-1 am], Wednesday: [2 pm-1 am], Thursday: [2 pm-1 am], Friday: [2 pm-1 am], Saturday: [12 pm-1 am], Sunday: [12 pm-1 am], Monday: [2 pm-1 am]",https://lh5.googleusercontent.com/p/AF1QipM5LaHMdNAUiOeql43buoNs50UuWboGH5g1Q7J6=w80-h106-k-no,1.10E+19,0x6ad643fec5f4811f:0x992fce25677a6449,ChIJH4H0xf5D1moRSWR6ZyXOL5k,/g/11tb93j0v0
