Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Royal Park Nature Play Playground,,"28 Gatehouse St, Parkville VIC 3052",28 Gatehouse St,Parkville VIC 3052,"Playground, Park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ66X32+WJ,Australia/Melbourne,,,,,(03) 9658 9658,"(03) 9658 9658, +61 3 9658 9658",NO,Royal Park Nature Play Playground (owner),,,,,1046,4.8,https://search.google.com/local/reviews?placeid=ChIJv7T3Ny9d1moRs-npmoZtz_0&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=18288957036666939827,https://www.google.com/search?kgmid=/g/11cly69yd3,-37.7952443,144.9516008,https://www.melbourne.vic.gov.au/community/parks-open-spaces/major-parks-gardens/Pages/royal-park.aspx,melbourne.vic.gov.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMw--C73M410KBBrD2kEpsLopJd41mrtDPtBaF6=w122-h92-k-no,1.8289E+19,0x6ad65d2f37f7b4bf:0xfdcf6d869ae9e9b3,ChIJv7T3Ny9d1moRs-npmoZtz_0,/g/11cly69yd3
Flagstaff Gardens Playground,,"Cnr William Street and, A'Beckett St, West Melbourne VIC 3003",Cnr William Street and,A'Beckett St,Playground,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ65XR3+7W,Australia/Melbourne,,,,,,,NO,Flagstaff Gardens Playground (owner),,,,,278,4.6,https://search.google.com/local/reviews?placeid=ChIJUzWCHjZd1moR6sQchO975QY&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=496939602538185962,https://www.google.com/search?kgmid=/g/11b6v1cnj3,-37.8093316,144.954756,http://melbourne.com.au/,melbourne.com.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMqGxTmggUejKwymJHvGyJVGHq-bMsuIFQe82dm=w137-h92-k-no,4.9694E+17,0x6ad65d361e823553:0x6e57bef841cc4ea,ChIJUzWCHjZd1moR6sQchO975QY,/g/11b6v1cnj3
Birrarung Marr Playground,,"Birrarung Marr, Melbourne VIC 3004",Birrarung Marr,Melbourne VIC 3004,"Playground, Park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ65XJC+MC,Australia/Melbourne,,,,,,,NO,Birrarung Marr Playground (owner),,,,,194,4.4,https://search.google.com/local/reviews?placeid=ChIJwc3ubbdC1moRie39_Za3c14&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=6805985321021205897,https://www.google.com/search?kgmid=/g/11b88v2vr1,-37.818269,144.9710867,https://www.melbourne.vic.gov.au/community/parks-open-spaces/playgrounds/Pages/playgrounds.aspx,melbourne.vic.gov.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPO4qD8xdL6behrPnOl5468zfcqVM5ZKejxM6a8=w122-h92-k-no,6.80599E+18,0x6ad642b76deecdc1:0x5e73b796fdfded89,ChIJwc3ubbdC1moRie39_Za3c14,/g/11b88v2vr1
Carlton Gardens Playground,,"111 Carlton St, Carlton VIC 3053",111 Carlton St,Carlton VIC 3053,Playground,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ65XXC+46,Australia/Melbourne,,,,,(03) 9658 9658,"(03) 9658 9658, +61 3 9658 9658",NO,Carlton Gardens Playground (owner),,,,"facebook: https://www.facebook.com/melbourneplaygrounds
youtube: https://www.youtube.com/c/melbourneplaygroundsau
",65,4.6,https://search.google.com/local/reviews?placeid=ChIJDe31GIBD1moR3Kli9zgPFgk&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=654727533172009436,https://www.google.com/search?kgmid=/g/11ghfwhqgw,-37.802182,144.9706,https://www.melbourneplaygrounds.com.au/carlton-gardens-playground-cnr-rathdowne-street-and-carlton-street-carlton,melbourneplaygrounds.com.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMtwYIUoDeBBTYOjRYg0jGPEwjccgRGiPZP_qcZ=w80-h106-k-no,6.54728E+17,0x6ad6438018f5ed0d:0x9160f38f762a9dc,ChIJDe31GIBD1moR3Kli9zgPFgk,/g/11ghfwhqgw
Southbank Boulevard Play Space,,"Southbank Blvd, Southbank VIC 3006",Southbank Blvd,Southbank VIC 3006,Playground,"Accessibility: [Wheelchair-accessible entrance], Amenities: [Slides, Swings]",4RJ65XG7+QW,Australia/Melbourne,,,,,,,NO,Southbank Boulevard Play Space (owner),,,,,72,4.6,https://search.google.com/local/reviews?placeid=ChIJXegQY6ND1moRelgNc2cqN7c&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=13202067456460150906,https://www.google.com/search?kgmid=/g/11tg2z8fz1,-37.8230193,144.9648048,https://www.melbourne.vic.gov.au/community/parks-open-spaces/playgrounds/Pages/playgrounds.aspx,melbourne.vic.gov.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNM8Fan-bTBWgj6E6QEGMeQT39kPg93Nfg2FhHQ=w122-h92-k-no,1.32021E+19,0x6ad643a36310e85d:0xb7372a67730d587a,ChIJXegQY6ND1moRelgNc2cqN7c,/g/11tg2z8fz1
Buluk Park Playground,,"107 Victoria Harbour Promenade, Docklands VIC 3008",107 Victoria Harbour Promenade,Docklands VIC 3008,"Playground, Park, Tourist attraction","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Slides]",4RJ65WHR+V9,Australia/Melbourne,,,,,,,NO,Buluk Park Playground (owner),,,,"youtube: https://www.youtube.com/watch?v=DSOQOLBRf5g
",214,4.4,https://search.google.com/local/reviews?placeid=ChIJUVHNRl5d1moR7p2p2zII8S0&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3310436215620738542,https://www.google.com/search?kgmid=/g/11bxb9qhwk,-37.8203434,144.9409475,,,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPZSFwjnTogkX6GCqOYpyOp79PYsjJ1iC8K0qK-=w122-h92-k-no,3.31044E+18,0x6ad65d5e46cd5151:0x2df10832dba99dee,ChIJUVHNRl5d1moR7p2p2zII8S0,/g/11bxb9qhwk
Plum Garland Memorial Playground,,"Beaconsfield Parade, Albert Park VIC 3206",Beaconsfield Parade,Albert Park VIC 3206,Playground,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ65W2X+V6,Australia/Melbourne,,,,,(03) 9209 6777,"(03) 9209 6777, +61 3 9209 6777",NO,Plum Garland Memorial Playground (owner),,,,"twitter: http://twitter.com/cityportphillip
instagram: http://instagram.com/cityofportphillip
facebook: http://www.facebook.com/cityofportphillip
youtube: http://www.youtube.com/user/portphillipcouncil
linkedin: https://www.linkedin.com/company/city-of-port-phillip
",218,4.6,https://search.google.com/local/reviews?placeid=ChIJB3meD8Nn1moR3BGrk-oANbM&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=12913228514054574556,https://www.google.com/search?kgmid=/g/11b8b2p4mh,-37.8478047,144.94811,https://www.portphillip.vic.gov.au/explore-the-city/beaches-parks-and-playgrounds/find-parks-and-playgrounds/plum-garland-memorial-playground,portphillip.vic.gov.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNGRHaWFFG95CfPwJ71k2ff9mzRu_hfaG0_8fos=w122-h92-k-no,1.29132E+19,0x6ad667c30f9e7907:0xb33500ea93ab11dc,ChIJB3meD8Nn1moR3BGrk-oANbM,/g/11b8b2p4mh
Warr Park Playground,,"5 Wraith St, Brunswick VIC 3056",5 Wraith St,Brunswick VIC 3056,"Playground, Park, Tourist attraction","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ66XQ7+WQ,Australia/Melbourne,,,,,,,NO,Warr Park Playground (owner),,,,,163,4.5,https://search.google.com/local/reviews?placeid=ChIJj7V9XFRD1moRV3IusEF9rHc&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=8623405107589837399,https://www.google.com/search?kgmid=/g/11c12v8f1c,-37.7602018,144.9644434,,,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPifpXML1_8gFWcgo79MYxixR6ed-hLfa-GAHmj=w122-h92-k-no,8.62341E+18,0x6ad643545c7db58f:0x77ac7d41b02e7257,ChIJj7V9XFRD1moRV3IusEF9rHc,/g/11c12v8f1c
Aughtie Drive Adventure Playground,,"Aughtie Dr, Albert Park VIC 3206",Aughtie Dr,Albert Park VIC 3206,Playground,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ65X28+MC,Australia/Melbourne,,,,,13 19 63,"13 19 63, +61 131963",YES,Aughtie Drive Adventure Playground (owner),1.15475E+20,https://www.google.com/maps/contrib/115474977301782120452,,,183,4.7,https://search.google.com/local/reviews?placeid=ChIJx4ebhAto1moRpU1OjL80Qvk&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=17960976261204299173,https://www.google.com/search?kgmid=/g/1tj5qws8,-37.8483128,144.9661067,,,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOjOXnlWGzrCrr1WH_yfHLgf1MCtqLvQ7MHEfdJ=w194-h92-k-no,1.7961E+19,0x6ad6680b849b87c7:0xf94234bf8c4e4da5,ChIJx4ebhAto1moRpU1OjL80Qvk,/g/1tj5qws8
Maritime Cove Community Park Playground,,"200 The Blvd, Port Melbourne VIC 3207",200 The Blvd,Port Melbourne VIC 3207,"Playground, Tourist attraction","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]",4RJ65W57+MF,Australia/Melbourne,,,,,1300 857 662,"1300 857 662, +61 1300 857 662",NO,Maritime Cove Community Park Playground (owner),,,,,740,4.5,https://search.google.com/local/reviews?placeid=ChIJbdgu-Qhn1moR8EsyBXZWBA8&q=Playground&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1082084875369073648,https://www.google.com/search?kgmid=/g/1trc52s4,-37.8408333,144.913648,,,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMskOKMDJ38e9qguF_1Q7WP43xHsQmfvlibqcQK=w122-h92-k-no,1.08208E+18,0x6ad66708f92ed86d:0xf04567605324bf0,ChIJbdgu-Qhn1moR8EsyBXZWBA8,/g/1trc52s4
