Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Hats & Tatts CBD,A Zoolander quote is lit up in neon above the bar at this lively & relaxed dive-style bar.,"1/246 Russell St, Melbourne VIC 3000",1/246 Russell St,Melbourne VIC 3000,Bar,"Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Bar games, Great cocktails], Accessibility: [Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Gender-neutral toilets, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Doesn't accept reservations], Payments: [Credit cards]",4RJ65XQ8+RW,Australia/Melbourne,$20�?0,,,,,,YES,Hats & Tatts CBD (owner),1.11466E+20,https://www.google.com/maps/contrib/111466126482180993496,,,278,4.7,https://search.google.com/local/reviews?placeid=ChIJT0BzMP9n1moRHChnexfX_Xo&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=8862476137589581852,https://www.google.com/search?kgmid=/g/11bv_dhbxp,-37.8104742,144.9673356,https://www.facebook.com/Hatsandtatts/,facebook.com,"Tuesday: [4 pm-3 am], Wednesday: [4 pm-3 am], Thursday: [4 pm-3 am], Friday: [4 pm-3 am], Saturday: [4 pm-3 am], Sunday: [Closed], Monday: [Closed]",https://lh5.googleusercontent.com/p/AF1QipNZIZzBJGBP-mNZwRRQQZ5f4gn8Q6ZDKpqGD-V6=w163-h92-k-no,8.86248E+18,0x6ad667ff3073404f:0x7afdd7177b67281c,ChIJT0BzMP9n1moRHChnexfX_Xo,/g/11bv_dhbxp
Spleen Bar,Cocktails and regular stand-up comedy nights in a snug venue with vintage decor and a buzzing vibe.,"41 Bourke St, Melbourne VIC 3000",41 Bourke St,Melbourne VIC 3000,Bar,"Service options: [Dine-in, No delivery, No takeaway], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Doesn't accept reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]",4RJ65XQC+7Q,Australia/Melbourne,$20�?0,,,,(03) 9650 2400,"(03) 9650 2400, +61 3 9650 2400",YES,Spleen Bar (owner),1.14594E+20,https://www.google.com/maps/contrib/114593541579197076029,,"instagram: http://instagram.com/barspleen
facebook: http://www.facebook.com/2008/fbml
",624,4.3,https://search.google.com/local/reviews?placeid=ChIJC2LQoMhC1moRGUNvIjaHvys&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3152386930758337305,https://www.google.com/search?kgmid=/g/1v44qk82,-37.8118105,144.9719986,http://www.spleenbarmelbourne.com.au/,spleenbarmelbourne.com.au,"Tuesday: [4 pm-5 am], Wednesday: [4 pm-5 am], Thursday: [4 pm-5 am], Friday: [4 pm-5 am], Saturday: [4 pm-5 am], Sunday: [Closed], Monday: [4 pm-5 am]",https://lh5.googleusercontent.com/p/AF1QipN2DgdcwMk8CdkfoGuhaaTjBg65xZRBsR0Krcu_=w122-h92-k-no,3.15239E+18,0x6ad642c8a0d0620b:0x2bbf8736226f4319,ChIJC2LQoMhC1moRGUNvIjaHvys,/g/1v44qk82
Loch & Key,"Stylish bar serving cocktails & craft beers in a cosy, dimly lit venue with rooms & a balcony.","34 Franklin St, Melbourne VIC 3000",34 Franklin St,Melbourne VIC 3000,"Cocktail bar, Bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Rooftop seating], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Gender-neutral toilets, Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, ], Pets: [Dogs allowed]",4RJ65XR6+XM,Australia/Melbourne,$20�?0,,,,,,YES,Loch & Key (owner),1.15838E+20,https://www.google.com/maps/contrib/115838037255444423654,,"instagram: http://www.instagram.com/lochandkey34
facebook: https://www.facebook.com/lochandkey34
",714,4.3,https://search.google.com/local/reviews?placeid=ChIJMczKWctC1moRkCg2PknsYfQ&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=17609615817315854480,https://www.google.com/search?kgmid=/g/11b7yn_3lq,-37.807527,144.9617416,http://www.lochandkey.com.au/,lochandkey.com.au,"Tuesday: [12-5 am, 8 pm-12 am], Wednesday: [12-5 am, 8 pm-12 am], Thursday: [12-5 am, 8 pm-12 am], Friday: [12-5 am, 5 pm-12 am], Saturday: [12-7 am, 5 pm-12 am], Sunday: [12-7 am, 8 pm-12 am], Monday: [12-5 am, 8 pm-12 am]",https://lh5.googleusercontent.com/p/AF1QipPitKeMn-Zxlkr2d8oXedtcjojCZvUuX2m78Wj2=w147-h92-k-no,1.76096E+19,0x6ad642cb59cacc31:0xf461ec493e362890,ChIJMczKWctC1moRkCg2PknsYfQ,/g/11b7yn_3lq
Heartbreaker,Extensive range of international beers & whiskeys in a lively bar with a rock 'n' roll atmosphere.,"234A Russell St, Melbourne VIC 3000",234A Russell St,Melbourne VIC 3000,Bar,"Service options: [Takeaway, Dine-in, No delivery], Highlights: [Bar games, Great cocktails, Live performances], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Doesn't accept reservations], Payments: [Credit cards, Mobile payments], Parking: [Paid street parking]",4RJ65XQ9+J2,Australia/Melbourne,$20�?0,,,,(03) 9041 0856,"(03) 9041 0856, +61 3 9041 0856",YES,Heartbreaker (owner),1.05886E+20,https://www.google.com/maps/contrib/105885786739987542639,,"instagram: https://www.instagram.com/heartbreakerbar
facebook: http://www.facebook.com/2008
",1535,4.4,https://search.google.com/local/reviews?placeid=ChIJf_-ib8lC1moR8y0DMHWLgFA&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=5800789655486148083,https://www.google.com/search?kgmid=/g/11bysjp_9f,-37.8109284,144.9675046,https://heartbreakerbar.com.au/,heartbreakerbar.com.au,"Tuesday: [5 pm-1 am], Wednesday: [5 pm-3 am], Thursday: [3 pm-3 am], Friday: [3 pm-3 am], Saturday: [3 pm-3 am], Sunday: [5 pm-1 am], Monday: [5 pm-1 am]",https://lh5.googleusercontent.com/p/AF1QipMmpG41YwPJgsCYBgp3hv8G1zYYC737WxsIWccS=w156-h92-k-no,5.80079E+18,0x6ad642c96fa2ff7f:0x50808b7530032df3,ChIJf_-ib8lC1moR8y0DMHWLgFA,/g/11bysjp_9f
Cabinet Bar & Balcony,"Casual Parisian-inspired bar with lounge and balcony areas, serving tapas, cocktails and flatbreads.","11 Rainbow Alley, Melbourne VIC 3000",11 Rainbow Alley,Melbourne VIC 3000,"Bar, Cocktail bar, Restaurant, Wine bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Rooftop seating], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid street parking]",4RJ65XP8+8G,Australia/Melbourne,$20�?0,,,,(03) 9654 0915,"(03) 9654 0915, +61 3 9654 0915",YES,Cabinet Bar & Balcony (owner),1.09149E+20,https://www.google.com/maps/contrib/109148709817700609166,,"instagram: https://instagram.com/cabinet.bar
",588,4.5,https://search.google.com/local/reviews?placeid=ChIJVUJ9_LVC1moRSoZpoRqqq8Q&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=14171607683805316682,https://www.google.com/search?kgmid=/g/1vrq9sb5,-37.8141442,144.9663607,http://www.cabinetbar.com.au/,cabinetbar.com.au,"Tuesday: [4 pm-1 am], Wednesday: [4 pm-1 am], Thursday: [4 pm-1 am], Friday: [12 pm-1 am], Saturday: [2 pm-1 am], Sunday: [2-11 pm], Monday: [4-11 pm]",https://lh5.googleusercontent.com/p/AF1QipMdemuFAryAafS9WoRdhFkR1wlLJUImyUMeji2x=w138-h92-k-no,1.41716E+19,0x6ad642b5fc7d4255:0xc4abaa1aa169864a,ChIJVUJ9_LVC1moRSoZpoRqqq8Q,/g/1vrq9sb5
Beneath Driver Lane,"Cocktails, spirits & French bites in an old-timey underground hangout with live music on weekends.","Shop/3 Little Bourke St, Melbourne VIC 3000",Shop/3 Little Bourke St,Melbourne VIC 3000,Bar,"Service options: [Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Live music, Live performances], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Spirits, Wine], Amenities: [Toilets], Atmosphere: [Casual, Cosy, Upmarket], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid street parking]",4RJ65XP7+R6,Australia/Melbourne,$20�?0,,,,,,YES,Beneath Driver Lane (owner),1.11272E+20,https://www.google.com/maps/contrib/111271766040745119032,,"instagram: https://www.instagram.com/beneathdriverlane
facebook: http://www.facebook.com/2008
",1150,4.6,https://search.google.com/local/reviews?placeid=ChIJwaJkZLVC1moRdQPhwSG1v_I&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=17491898634321593205,https://www.google.com/search?kgmid=/g/11gcmyb6rv,-37.8129978,144.963023,http://driverlanebar.com/,driverlanebar.com,"Tuesday: [5 pm-1 am], Wednesday: [5 pm-1 am], Thursday: [5 pm-1 am], Friday: [4 pm-2 am], Saturday: [4 pm-2 am], Sunday: [6 pm-12 am], Monday: [Closed]",https://lh5.googleusercontent.com/p/AF1QipPNLCb8hmrjhF-xOZgHZj6ethuyg-UlFFqhdp45=w163-h92-k-no,1.74919E+19,0x6ad642b56464a2c1:0xf2bfb521c1e10375,ChIJwaJkZLVC1moRdQPhwSG1v_I,/g/11gcmyb6rv
215 Queen's Restaurant and Bar Melbourne,,"215 Queen St, Melbourne VIC 3000",215 Queen St,Melbourne VIC 3000,"Bar, Asian restaurant, Restaurant, Chinese restaurant, Event venue, Halal restaurant, Italian restaurant, Karaoke bar, Take Away Restaurant, Pizza restaurant","Service options: [Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in], Highlights: [Live music, Rooftop seating], Accessibility: [Wheelchair-accessible seating,  Does not have assistive hearing loop, No wheelchair-accessible car park], Offerings: [Alcohol, All you can eat, Beer, Cocktails, Coffee, Halal food, Happy-hour drinks, Happy-hour food, Late-night food, Organic dishes, Salad bar, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Dinner, Catering, Counter service, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, ], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Cheques, Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free parking lot, Paid street parking, ]",4RJ65XP5+FW,Australia/Melbourne,$20�?0,,,,0417 926 716,"0417 926 716, +61 417 926 716",YES,215 Queen's Restaurant and Bar Melbourne (owner),1.1055E+20,https://www.google.com/maps/contrib/110549824921732111252,,"instagram: http://instagram.com/eventsinmelb
facebook: https://www.facebook.com/215queensbar
",339,3.8,https://search.google.com/local/reviews?placeid=ChIJ-dKVVbJd1moRvkegNyHfyjw&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=4380558921331394494,https://www.google.com/search?kgmid=/g/11sgvzxcqp,-37.8137947,144.9598607,http://215queens.com/,215queens.com,"Tuesday: [5 pm-4 am], Wednesday: [5 pm-4 am], Thursday: [5 pm-4 am], Friday: [5 pm-4 am], Saturday: [5 pm-4 am], Sunday: [5 pm-4 am], Monday: [5 pm-4 am]",https://lh5.googleusercontent.com/p/AF1QipPg-KTKTqR8UYYxJll95XD-96RzWgkEkMksJ2co=w80-h106-k-no,4.38056E+18,0x6ad65db25595d2f9:0x3ccadf2137a047be,ChIJ-dKVVbJd1moRvkegNyHfyjw,/g/11sgvzxcqp
La La Land CBD,Classic & unique cocktails fixed up in a cool bar with brick-lined walls & leather sofas.,"level 1/125 Hardware St, Melbourne VIC 3000",level 1/125 Hardware St,Melbourne VIC 3000,Bar,"Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Live performances], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Dancing, Happy-hour drinks, Spirits, Wine], Dining options: [Outside food allowed, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]",4RJ65XQ6+65,Australia/Melbourne,$20�?0,,,,(03) 9913 3626,"(03) 9913 3626, +61 3 9913 3626",YES,La La Land CBD (owner),1.10056E+20,https://www.google.com/maps/contrib/110056244978596360779,,"facebook: http://www.facebook.com/2008
",613,4.4,https://search.google.com/local/reviews?placeid=ChIJP-X58sxC1moRb5rQ6w_T3-I&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=16348017237712476783,https://www.google.com/search?kgmid=/g/1tgdj3sw,-37.8119239,144.9603814,https://www.lalaland.com.au/melbourne/?utm_source=jcc_organic&utm_medium=gb&utm_campaign=website_link,lalaland.com.au,"Tuesday: [4 pm-1 am], Wednesday: [4 pm-1 am], Thursday: [4 pm-1 am], Friday: [4 pm-3 am], Saturday: [4 pm-3 am], Sunday: [4 pm-1 am], Monday: [4 pm-1 am]",https://lh5.googleusercontent.com/p/AF1QipPba8pLQzq7png7SBmIORV86SFFY2ZnxCH08fZp=w163-h92-k-no,1.6348E+19,0x6ad642ccf2f9e53f:0xe2dfd30febd09a6f,ChIJP-X58sxC1moRb5rQ6w_T3-I,/g/1tgdj3sw
Bar Ampere,"Stylish art-drizzled bar with a long absinthe menu, plus modern Australian snacks and mains.","16 Russell Pl, Melbourne VIC 3000",16 Russell Pl,Melbourne VIC 3000,Bar,"Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Gender-neutral toilets, Toilets], Atmosphere: [Casual, Cosy, Upmarket], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Doesn't accept reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]",4RJ65XP8+GX,Australia/Melbourne,$20�?0,,,,,,YES,Bar Ampere (owner),1.1702E+20,https://www.google.com/maps/contrib/117020208185304743993,,"instagram: http://instagram.com/squarespace
facebook: http://www.facebook.com/2008
yelp: https://www.yelp.com/biz/squarespace-new-york
",629,4.5,https://search.google.com/local/reviews?placeid=ChIJ5cMk-8lC1moRo_Vrk8TQwpY&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=10863474793876551075,https://www.google.com/search?kgmid=/g/1hc2t5swh,-37.8136637,144.9674292,http://www.barampere.com/,barampere.com,"Tuesday: [3 pm-3 am], Wednesday: [3 pm-3 am], Thursday: [3 pm-3 am], Friday: [3 pm-3 am], Saturday: [3 pm-3 am], Sunday: [5 pm-3 am], Monday: [3 pm-3 am]",https://lh5.googleusercontent.com/p/AF1QipOv2Hk1GbrJy_ZhoU6cOkTXeBg_9ZALstmg8GCr=w138-h92-k-no,1.08635E+19,0x6ad642c9fb24c3e5:0x96c2d0c4936bf5a3,ChIJ5cMk-8lC1moRo_Vrk8TQwpY,/g/1hc2t5swh
The Last Chance,"Convivial bar & live-music venue with diverse acts, offering craft beer & American-inspired snacks.","238 Victoria St, Melbourne VIC 3000",238 Victoria St,Melbourne VIC 3000,"Bar, Pub","Service options: [Outdoor seating, Dine-in, No delivery], Highlights: [Live music, Live performances], Accessibility: [Wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Doesn't accept reservations], Payments: [Credit cards, Debit cards, ], Parking: [Free of charge street parking]",4RJ65XV5+JC,Australia/Melbourne,$20�?0,,,,,,NO,The Last Chance (owner),,,,,602,4.6,https://search.google.com/local/reviews?placeid=ChIJvyIIeTNd1moRgoxfbv3UYk8&q=bar&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=5720368661657521282,https://www.google.com/search?kgmid=/g/1tc_8tjc,-37.8059346,144.9585842,http://www.thelastchance.com.au/,thelastchance.com.au,,https://lh5.googleusercontent.com/p/AF1QipNFWi3VesF1rA8T9E7D9jcJHODUIztUnDoqNKjI=w189-h92-k-no,5.72037E+18,0x6ad65d33790822bf:0x4f62d4fd6e5f8c82,ChIJvyIIeTNd1moRgoxfbv3UYk8,/g/1tc_8tjc
