Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Royal Botanic Gardens Victoria - Melbourne Gardens,"36-hectare botanic garden founded in 1846, planted with Australian species and non-native gardens.",Melbourne VIC 3004,Melbourne VIC 3004,,"Tourist attraction, Botanical garden","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Activities: [Hiking], Amenities: [Picnic tables, Public toilet, Toilets], Children: [Good for kids, Good for kids birthday, Kid-friendly hikes], Pets: [Dogs allowed]",4RJ65X9J+W3,Australia/Melbourne,,,,,(03) 9252 2300,"(03) 9252 2300, +61 3 9252 2300",YES,Royal Botanic Gardens Victoria - Melbourne Gardens (owner),1.12436e+20,https://www.google.com/maps/contrib/112436479398252766259,,,16539,4.8,https://search.google.com/local/reviews?placeid=ChIJO40p-5ZC1moRwNcxBXZWBA8&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1082084875369043904,https://www.google.com/search?kgmid=/m/0509dt,-37.8302443,144.9801496,https://www.rbg.vic.gov.au/,rbg.vic.gov.au,"Wednesday: [7:30 am-7:30 pm], Thursday: [7:30 am-7:30 pm], Friday: [7:30 am-7:30 pm], Saturday: [7:30 am-7:30 pm], Sunday: [7:30 am-7:30 pm], Monday: [7:30 am-7:30 pm], Tuesday: [7:30 am-7:30 pm]",https://lh5.googleusercontent.com/p/AF1QipNr16xQjl9PqqLfiXee9kHtLv7xu-kvjiBPdeWw=w122-h92-k-no,1.08208e+18,0x6ad64296fb298d3b:0xf0456760531d7c0,ChIJO40p-5ZC1moRwNcxBXZWBA8,/m/0509dt
Fed Square,"Abstract buildings flank this block-size plaza, filled with restaurants, museums and arts venues.","Swanston St & Flinders St, Melbourne VIC 3000",Swanston St & Flinders St,Melbourne VIC 3000,"Plaza, Art center, Art gallery, Civic center, Community center, Conference center, Event venue, Tourist attraction","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Gender-neutral toilets]",4RJ65XJ9+RJ,Australia/Melbourne,,,,,(03) 9655 1900,"(03) 9655 1900, +61 3 9655 1900",YES,Fed Square (owner),1.16987e+20,https://www.google.com/maps/contrib/116986566868410510750,,,2741,4.5,https://search.google.com/local/reviews?placeid=ChIJT8T86bZC1moRqw7W6kVH5zg&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=4100324351362338475,https://www.google.com/search?kgmid=/m/02737h,-37.8179789,144.9690576,https://www.fedsquare.com/,fedsquare.com,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOagdxjFkB5jmhQ08F3BeKzPkZeXf7wANo_IL9H=w122-h92-k-no,4.10032e+18,0x6ad642b6e9fcc44f:0x38e74745ead60eab,ChIJT8T86bZC1moRqw7W6kVH5zg,/m/02737h
Melbourne Skydeck,Gold-plated observation deck on the 88th floor with panoramic city views & a protruding glass cube.,"7 Riverside Quay, Southbank VIC 3006",7 Riverside Quay,Southbank VIC 3006,"Tourist attraction, Observation deck","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Planning: [Getting tickets in advance recommended], Children: [Good for kids]",4RJ65XH7+FV,Australia/Melbourne,,,,,(03) 9693 8888,"(03) 9693 8888, +61 3 9693 8888",YES,Melbourne Skydeck (owner),1.07752e+20,https://www.google.com/maps/contrib/107752270785723004141,,,15317,4.5,https://search.google.com/local/reviews?placeid=ChIJQffkhK1C1moR3Z0-w-t8SS8&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3407391945117310429,https://www.google.com/search?kgmid=/m/02jkct,-37.8213341,144.9646982,https://www.melbourneskydeck.com.au/,melbourneskydeck.com.au,"Wednesday: [12-10 pm], Thursday: [12-10 pm], Friday: [12-10 pm], Saturday: [12-10 pm], Sunday: [12-10 pm], Monday: [12-10 pm], Tuesday: [12-10 pm]",https://lh5.googleusercontent.com/p/AF1QipPZ0pK28Jh1_oHefUikNk8Chn3ugcQVZgTGKbDW=w122-h92-k-no,3.40739e+18,0x6ad642ad84e4f741:0x2f497cebc33e9ddd,ChIJQffkhK1C1moR3Z0-w-t8SS8,/m/02jkct
Under The Clocks,,"295 Flinders St, Melbourne VIC 3000",295 Flinders St,Melbourne VIC 3000,Tourist attraction,"Accessibility: [Wheelchair-accessible entrance], Children: [Good for kids]",4RJ65XJ8+VW,Australia/Melbourne,,,,,,,NO,Under The Clocks (owner),,,,,119,4.6,https://search.google.com/local/reviews?placeid=ChIJAQ_QorZC1moRSx1cleDxw-4&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=17204860948366237003,https://www.google.com/search?kgmid=/g/11ddxtygyf,-37.8178614,144.9673341,,,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOVcDFj68fa-gIynPqoS-3HCL3LFAQ-oO_JkxVc=w122-h92-k-no,1.72049e+19,0x6ad642b6a2d00f01:0xeec3f1e0955c1d4b,ChIJAQ_QorZC1moRSx1cleDxw-4,/g/11ddxtygyf
SEA LIFE Melbourne Aquarium,"Interactive multilevel aquarium housing 10,000+ animals, including sharks & saltwater crocodiles.","King St, Melbourne VIC 3000",King St,Melbourne VIC 3000,"Tourist attraction, Event venue, Aquarium","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Planning: [Getting tickets in advance recommended], Children: [Good for kids]",4RJ65XH5+P7,Australia/Melbourne,,,,,,,YES,SEA LIFE Melbourne Aquarium (owner),1.00011e+20,https://www.google.com/maps/contrib/100010667614614639646,,"facebook: https://www.facebook.com/melbourneaquarium/
instagram: https://www.instagram.com/sealifemelbourneaquarium/?hl=en
",16315,4.3,https://search.google.com/local/reviews?placeid=ChIJ_QzhcE1d1moR9rtoKagNPOI&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=16301919767074749430,https://www.google.com/search?kgmid=/m/0b7xrh,-37.820627,144.95822,https://www.visitsealife.com/melbourne/?utm_source=gmb&utm_medium=organic&utm_campaign=yext&utm_content=2,visitsealife.com,"Wednesday: [10 am-5 pm], Thursday: [10 am-5 pm], Friday: [10 am-5 pm], Saturday: [10 am-5 pm], Sunday: [10 am-5 pm], Monday: [10 am-5 pm], Tuesday: [10 am-5 pm]",https://lh5.googleusercontent.com/p/AF1QipMWrFf5pXDkG58fj4-CPaoC0obc35V1RnFWUtxX=w80-h106-k-no,1.63019e+19,0x6ad65d4d70e10cfd:0xe23c0da82968bbf6,ChIJ_QzhcE1d1moR9rtoKagNPOI,/m/0b7xrh
Batman Park,,"2A Spencer St, Melbourne VIC 3000",2A Spencer St,Melbourne VIC 3000,"Tourist attraction, Park","Service options: [On-site services], Accessibility: [Wheelchair-accessible entrance], Children: [Good for kids], Pets: [Dogs allowed]",4RJ65XH4+7H,Australia/Melbourne,,,,,(03) 9658 9658,"(03) 9658 9658, +61 3 9658 9658",NO,Batman Park (owner),,,,,608,4.3,https://search.google.com/local/reviews?placeid=ChIJG0SLSFJd1moRMWiHXt2cag4&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1038815138649958449,https://www.google.com/search?kgmid=/m/057vbtn,-37.8217763,144.9564845,http://www.melbournepoint.com.au/parks/batman-park/,melbournepoint.com.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOdo5aOWyTdkaMvwXosPHR6s-cuZjhe7WztiZJl=w80-h106-k-no,1.03882e+18,0x6ad65d52488b441b:0xe6a9cdd5e876831,ChIJG0SLSFJd1moRMWiHXt2cag4,/m/057vbtn
Parliament Gardens,,"489/531 Albert St, East Melbourne VIC 3002",489/531 Albert St,East Melbourne VIC 3002,"Tourist attraction, Park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids], Pets: [Dogs allowed]",4RJ65XRF+5C,Australia/Melbourne,,,,,,,NO,Parliament Gardens (owner),,,,,689,4.5,https://search.google.com/local/reviews?placeid=ChIJcfRKl8VC1moRwIUxBXZWBA8&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1082084875369022912,https://www.google.com/search?kgmid=/g/1ym82wpwp,-37.8095207,144.973526,http://www.melbournepoint.com.au/parks/parliament-gardens/,melbournepoint.com.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNiwPcYupSybDheczaae67qxoKC6tIpgdOeokZl=w122-h92-k-no,1.08208e+18,0x6ad642c5974af471:0xf045676053185c0,ChIJcfRKl8VC1moRwIUxBXZWBA8,/g/1ym82wpwp
Melbourne Museum,Modern building of an institution founded in 1854 containing dinosaur and regional history exhibits.,"11 Nicholson St, Carlton VIC 3053",11 Nicholson St,Carlton VIC 3053,"Tourist attraction, Museum, Natural history museum, History museum, Wedding venue","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, ], Amenities: [Gender-neutral toilets, Restaurant, Toilets, Wi-Fi, ], Crowd: [Family friendly, LGBTQ+ friendly, Transgender safe space], Planning: [Getting tickets in advance recommended], Children: [Discounts for kids, Good for kids, Has changing table(s), Kid-friendly activities, Nursing room]",4RJ65XWC+MM,Australia/Melbourne,,,,,13 11 02,"13 11 02, +61 131102",YES,Melbourne Museum (owner),1.00253e+20,https://www.google.com/maps/contrib/100253097724051678566,,,16315,4.6,https://search.google.com/local/reviews?placeid=ChIJn97JQNpC1moRIcJsVMEQLI8&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=10316639268930109985,https://www.google.com/search?kgmid=/m/01k1wc,-37.803273,144.9717408,https://museumsvictoria.com.au/melbournemuseum,museumsvictoria.com.au,"Wednesday: [9 am-5 pm], Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm]",https://lh5.googleusercontent.com/p/AF1QipNWUeBaqTw8uEPQX4nf9Xx3kJqMABa1bvT0KzNs=w122-h92-k-no,1.03166e+19,0x6ad642da40c9de9f:0x8f2c10c1546cc221,ChIJn97JQNpC1moRIcJsVMEQLI8,/m/01k1wc
Chinatown Melbourne,"Vibrant, historic neighborhood offering numerous Chinese eateries, shops & cultural events.","Little Bourke St, Melbourne VIC 3000",Little Bourke St,Melbourne VIC 3000,"Tourist attraction, Restaurant, Historical landmark","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids]",4RJ65XQ8+5P,Australia/Melbourne,,,,,0474 043 600,"0474 043 600, +61 474 043 600",YES,Chinatown Melbourne (owner),1.17151e+20,https://www.google.com/maps/contrib/117150580714277775676,,,6571,4.3,https://search.google.com/local/reviews?placeid=ChIJczgQh8lC1moR9r9gP44FRvY&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=17745877490206818294,https://www.google.com/search?kgmid=/m/0ghfj0,-37.812006,144.9668036,http://chinatownmelbourne.com.au/,chinatownmelbourne.com.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMqaWjxOSBGiM9Wc3sM85GL99uTtdp7c_vpOcB0=w80-h106-k-no,1.77459e+19,0x6ad642c987103873:0xf646058e3f60bff6,ChIJczgQh8lC1moR9r9gP44FRvY,/m/0ghfj0
Alexandra Gardens,"Waterfront park with walking & cycling trails, a BBQ/picnic area, skate park, playground & cafe.","Alexandra Gardens Skate Park, 3 Boathouse Dr, Melbourne VIC 3004",Alexandra Gardens Skate Park,3 Boathouse Dr,"Tourist attraction, Park, Garden","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Picnic tables, Public toilet, Skateboarding area], Children: [Good for kids], Pets: [Dogs allowed]",4RJ65XHC+RV,Australia/Melbourne,,,,,(03) 9658 9658,"(03) 9658 9658, +61 3 9658 9658",NO,Alexandra Gardens (owner),,,,,1520,4.6,https://search.google.com/local/reviews?placeid=ChIJc8A97rlC1moRUPD0CXZWBB0&q=Things+to+do&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=2090891191979929680,https://www.google.com/search?kgmid=/m/0627jr,-37.8204318,144.9721339,https://www.melbourne.vic.gov.au/community/parks-open-spaces/major-parks-gardens/Pages/alexandra-gardens.aspx,melbourne.vic.gov.au,"Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNqZDV1tOG_WbxK4W2Qsrvc5ENGhJ8bSIujp4RQ=w122-h92-k-no,2.09089e+18,0x6ad642b9ee3dc073:0x1d04567609f4f050,ChIJc8A97rlC1moRUPD0CXZWBB0,/m/0627jr
