Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Pho Victoria,,"372 Victoria St, North Melbourne VIC 3051",372 Victoria St,North Melbourne VIC 3051,"Vietnamese restaurant, Meal delivery, Take Away Restaurant, Pho restaurant","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Offerings: [Coffee, Healthy options, Small plates], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Parking: [Free of charge street parking, Paid street parking, ]",4RJ65XV3+RH,Australia/Melbourne,$1–20,,,,(03) 9972 7283,"(03) 9972 7283, +61 3 9972 7283",YES,Pho Victoria (owner),100433948796428528857,https://www.google.com/maps/contrib/100433948796428528857,,,562,4.4,https://search.google.com/local/reviews?placeid=ChIJSzb7xTZd1moR0ZQhSKN11tg&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=15624805301358793937,https://www.google.com/search?kgmid=/g/1yj4k3nfx,-37.8054518,144.9539362,,,"Saturday: [11 am-9:30 pm], Sunday: [11 am-9:30 pm], Monday: [11 am-9:30 pm], Tuesday: [11 am-9:30 pm], Wednesday: [11 am-9:30 pm], Thursday: [11 am-9:30 pm], Friday: [11 am-9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipO_hYvp2UWWHreZ5AI47g0lZVpT6NAACuulrEzP=w122-h92-k-no,15624805301358793937,0x6ad65d36c5fb364b:0xd8d675a3482194d1,ChIJSzb7xTZd1moR0ZQhSKN11tg,/g/1yj4k3nfx
North Melbourne Fish and Chips,"Fish 'n' chips fried up in a basic counter-service shop with some bench seating, or to take away.","38 Haines St, North Melbourne VIC 3051",38 Haines St,North Melbourne VIC 3051,"Fish & chips restaurant, Fast food restaurant, Take Away Restaurant","Service options: [Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating], Dining options: [Breakfast, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating], Amenities: [No toilets], Atmosphere: [Casual], Planning: [Doesn't accept reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Parking: [Free of charge street parking, ]",4RJ66W2W+MP,Australia/Melbourne,$1–20,,,,(03) 9329 1852,"(03) 9329 1852, +61 3 9329 1852",YES,North Melbourne Fish and Chips (owner),110290754737970756695,https://www.google.com/maps/contrib/110290754737970756695,,,353,4.5,https://search.google.com/local/reviews?placeid=ChIJp-B9JTtd1moR1MS8Hv8SuTQ&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3799088647605372116,https://www.google.com/search?kgmid=/g/1tf246pl,-37.7983387,144.9468569,,,"Saturday: [11 am-8 pm], Sunday: [12-8 pm], Monday: [Closed], Tuesday: [11 am-8 pm], Wednesday: [11 am-8 pm], Thursday: [11 am-8 pm], Friday: [11 am-8 pm]",https://lh5.googleusercontent.com/p/AF1QipNkHa13zdexnNPKFYxaC8sXF3CgMKyDeaJ2G6Kq=w80-h106-k-no,3799088647605372116,0x6ad65d3b257de0a7:0x34b912ff1ebcc4d4,ChIJp-B9JTtd1moR1MS8Hv8SuTQ,/g/1tf246pl
FooDao Melbourne Central,,"Shop LG02/211 La Trobe St, Melbourne VIC 3000",Shop LG02/211 La Trobe St,Melbourne VIC 3000,"Fast food restaurant, Asian fusion restaurant, Breakfast restaurant, Chinese takeaway, Restaurant","Service options: [No-contact delivery, Delivery, Takeaway, Dine-in], Accessibility: [Assistive hearing loop, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Coffee], Dining options: [Breakfast, Lunch, Dinner, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids]",4RJ65XQ7+X3,Australia/Melbourne,$1–20,,,,0452 640 715,"0452 640 715, +61 452 640 715",YES,FooDao Melbourne Central (owner),101904313177092564815,https://www.google.com/maps/contrib/101904313177092564815,,"instagram: https://www.instagram.com/foodaoexpress
facebook: https://www.facebook.com/foodaoau
",399,4.4,https://search.google.com/local/reviews?placeid=ChIJz61l6uVD1moR0pLL2Y-iK50&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=11325324426671264466,https://www.google.com/search?kgmid=/g/11h0bvqy46,-37.8101243,144.96270529999998,http://www.foodao.com.au/,foodao.com.au,"Saturday: [9 am-8 pm], Sunday: [9 am-8 pm], Monday: [8 am-8 pm], Tuesday: [8 am-8 pm], Wednesday: [8 am-8 pm], Thursday: [8 am-8 pm], Friday: [8 am-8 pm]",https://lh5.googleusercontent.com/p/AF1QipOjRl52VBy524KF3J47e8tpB_iO13PSC_ZZDveT=w80-h106-k-no,11325324426671264466,0x6ad643e5ea65adcf:0x9d2ba28fd9cb92d2,ChIJz61l6uVD1moR0pLL2Y-iK50,/g/11h0bvqy46
Sosta Ristorante,"Relaxed white-tablecloth restaurant serving seasonal Italian food, including gluten-free options.","12 Errol St, North Melbourne VIC 3051",12 Errol St,North Melbourne VIC 3051,Italian restaurant,"Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Halal food, Healthy options, Private dining room, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Cosy, Romantic, Upmarket], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Parking: [Free of charge street parking, Paid street parking, ], Pets: [Dogs allowed, Dogs allowed outside]",4RJ65WWX+3R,Australia/Melbourne,$$$,,,,(03) 9329 2882,"(03) 9329 2882, +61 3 9329 2882",YES,Sosta Ristorante (owner),117311608583487670853,https://www.google.com/maps/contrib/117311608583487670853,,"instagram: https://www.instagram.com/sosta_ristorante
",395,4.6,https://search.google.com/local/reviews?placeid=ChIJb6DBxDld1moRx6XklV4QyZs&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=11225521544625432007,https://www.google.com/search?kgmid=/g/1tdmkmjb,-37.8047811,144.9495167,https://www.sosta.com.au/,sosta.com.au,"Saturday: [12-11 pm], Sunday: [Closed], Monday: [Closed], Tuesday: [4:30-10:30 pm], Wednesday: [4:30-10:30 pm], Thursday: [12-10:30 pm], Friday: [12-11 pm]",https://lh5.googleusercontent.com/p/AF1QipMj7vvbM9QFwuYMtr1og9dSXXasvN7CYnXtDnWp=w138-h92-k-no,11225521544625432007,0x6ad65d39c4c1a06f:0x9bc9105e95e4a5c7,ChIJb6DBxDld1moRx6XklV4QyZs,/g/1tdmkmjb
MOFO Burgers,"Unpretentious all-day restaurant dishing up comfort food classics, plus coffee & shakes.","100 Leicester St, Carlton VIC 3053",100 Leicester St,Carlton VIC 3053,"Hamburger restaurant, American restaurant, Diner, Fast food restaurant, Fried chicken takeaway, Take Away Restaurant","Service options: [Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Coffee, Halal food, Late-night food, Small plates, Vegetarian options], Dining options: [Breakfast, Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs]",4RJ65XW6+G7,Australia/Melbourne,$20–40,,,,(03) 8370 9063,"(03) 8370 9063, +61 3 8370 9063",YES,MOFO Burgers (owner),108773782782944386474,https://www.google.com/maps/contrib/108773782782944386474,,,321,4.4,https://search.google.com/local/reviews?placeid=ChIJcWHbF2Rd1moRCtapS-k-U3A&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=8093882127032636938,https://www.google.com/search?kgmid=/g/11jdx7cw6j,-37.803676,144.9606628,http://www.mofoburgers.com.au/,mofoburgers.com.au,"Saturday: [8 am-11 pm], Sunday: [Closed], Monday: [8 am-9 pm], Tuesday: [8 am-9 pm], Wednesday: [8 am-9 pm], Thursday: [8 am-9 pm], Friday: [8 am-11 pm]",https://lh5.googleusercontent.com/p/AF1QipO59hjTxQSOHzgcmUGKp-ClAke_HeTeA4uI_uI=w163-h92-k-no,8093882127032636938,0x6ad65d6417db6171:0x70533ee94ba9d60a,ChIJcWHbF2Rd1moRCtapS-k-U3A,/g/11jdx7cw6j
Sassy Italian Restaurant,"A menu of thoughtfully sourced, classic pizzas & pastas in a vibrant, relaxed Italian restaurant.","1 Dryburgh St, West Melbourne VIC 3003",1 Dryburgh St,West Melbourne VIC 3003,"Italian restaurant, Caterer, Event venue, Family restaurant, Function room facility, Take Away Restaurant, Pizza restaurant, Restaurant, Restaurant supply store","Service options: [Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in], Highlights: [Live music], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet,  Does not have assistive hearing loop], Offerings: [Alcohol, Beer, Cocktails, Coffee, Halal food, Healthy options, Spirits, Vegan options, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy, Romantic], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free of charge street parking, ]",4RJ65WVV+52,Australia/Melbourne,$40–60,,,,0488 007 297,"0488 007 297, +61 488 007 297",YES,Sassy Italian Restaurant (owner),116629869381867313115,https://www.google.com/maps/contrib/116629869381867313115,,"facebook: https://www.facebook.com/sassyitalianrestaurant/
instagram: https://www.instagram.com/sassy_italian_restaurant/p/DAc_qbbTE6M/
",1950,4.7,https://search.google.com/local/reviews?placeid=ChIJS0RmHSZd1moRlfTiaBYdZDk&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=4135462339919148181,https://www.google.com/search?kgmid=/g/11fm7yt9td,-37.8070035,144.9425483,https://www.sassyitalianrestaurant.com.au/?utm_source=google&utm_medium=organic&utm_campaign=GBP,sassyitalianrestaurant.com.au,"Saturday: [11 am-10 pm], Sunday: [12-9 pm], Monday: [Closed], Tuesday: [11 am-3 pm, 5-9:30 pm], Wednesday: [11 am-3 pm, 5-9:30 pm], Thursday: [11 am-3 pm, 5-9:30 pm], Friday: [11 am-10 pm]",https://lh5.googleusercontent.com/p/AF1QipMyr3I2aWYN3-qqfcoXMgBuDzx5222TRWKklCQm=w138-h92-k-no,4135462339919148181,0x6ad65d261d66444b:0x39641d1668e2f495,ChIJS0RmHSZd1moRlfTiaBYdZDk,/g/11fm7yt9td
Ondol Korean Restaurant,,"50 Errol St, North Melbourne VIC 3051",50 Errol St,North Melbourne VIC 3051,"Korean barbecue restaurant, Korean restaurant, Korean rib restaurant","Service options: [Dine-in], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Salad bar, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards], Children: [Good for kids, Has changing table(s), High chairs], Parking: [Free of charge street parking, Paid street parking, ]",4RJ65WWX+9V,Australia/Melbourne,$40–60,,,,0410 011 115,"0410 011 115, +61 410 011 115",YES,Ondol Korean Restaurant (owner),103962316611552114996,https://www.google.com/maps/contrib/103962316611552114996,,,179,4.7,https://search.google.com/local/reviews?placeid=ChIJneXDRONd1moRa8nexM0pin4&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=9118146359312959851,https://www.google.com/search?kgmid=/g/11sd507mq8,-37.8040029,144.9496678,https://www.instagram.com/ondolkoreancuisine,instagram.com,"Saturday: [12-10 pm], Sunday: [12-10 pm], Monday: [12-3 pm, 5-10 pm], Tuesday: [12-3 pm, 5-10 pm], Wednesday: [12-3 pm, 5-10 pm], Thursday: [12-3 pm, 5-10 pm], Friday: [12-3 pm, 5-10 pm]",https://lh5.googleusercontent.com/p/AF1QipMFOl1-1sa4sI00D40FWlSlqIWgOYTNA1UvuRkL=w122-h92-k-no,9118146359312959851,0x6ad65de344c3e59d:0x7e8a29cdc4dec96b,ChIJneXDRONd1moRa8nexM0pin4,/g/11sd507mq8
Universal Restaurant,Classic Italian dishes & handmade pasta served in a space with modern decor.,"141 Lygon St, Carlton VIC 3053",141 Lygon St,Carlton VIC 3053,"Italian restaurant, Meal delivery, Pizza delivery, Pizza takeaway, Restaurant","From the business: [Identifies as women-owned], Service options: [Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Happy-hour food, Late-night food, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free of charge street parking, Paid parking lot, Paid street parking, ]",4RJ65XW8+FC,Australia/Melbourne,$20–40,,,,(03) 9347 4393,"(03) 9347 4393, +61 3 9347 4393",YES,Universal Restaurant (owner),106770521345442523345,https://www.google.com/maps/contrib/106770521345442523345,,"instagram: https://www.instagram.com/universalrestaurant
facebook: https://www.facebook.com/universalitalianrestaurant
",6442,4.4,https://search.google.com/local/reviews?placeid=ChIJa2v1BNJC1moR_XGbXwcSoAg&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=621516571455222269,https://www.google.com/search?kgmid=/g/1td48354,-37.8038454,144.9661208,https://www.universalrestaurant.com.au/,universalrestaurant.com.au,"Saturday: [11 am-11:30 pm], Sunday: [11 am-10 pm], Monday: [11 am-11 pm], Tuesday: [11 am-11 pm], Wednesday: [11 am-11 pm], Thursday: [11 am-11 pm], Friday: [11 am-11:30 pm]",https://lh5.googleusercontent.com/p/AF1QipOnMJkzX5PulvhgoLF6Znhv0qtSrUAmIf8khdw_=w163-h92-k-no,621516571455222269,0x6ad642d204f56b6b:0x8a012075f9b71fd,ChIJa2v1BNJC1moR_XGbXwcSoAg,/g/1td48354
Number 12 Thai Restaurant,,"530 Little Bourke St, Melbourne VIC 3000",530 Little Bourke St,Melbourne VIC 3000,Thai restaurant,"Service options: [Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible seating], Offerings: [Alcohol, Beer, Braille menu, Happy-hour food, Healthy options, Late-night food, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards], Children: [Good for kids, Has changing table(s), High chairs, Kids' menu], Parking: [Paid parking lot, Paid street parking, ], Pets: [Dogs allowed outside]",4RJ65XP4+3P,Australia/Melbourne,$20–40,,,,(03) 9939 6919,"(03) 9939 6919, +61 3 9939 6919",YES,Number 12 Thai Restaurant (owner),110634346932872540898,https://www.google.com/maps/contrib/110634346932872540898,,,798,4.8,https://search.google.com/local/reviews?placeid=ChIJu4mh5mdd1moRnH6mZrSlMfk&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=17956315383537761948,https://www.google.com/search?kgmid=/g/11sd1ngql0,-37.8147848,144.9567935,https://www.instagram.com/number12.melbourne?igsh=ZXM5YjUybHl4OTJs&utm_source=qr,instagram.com,"Saturday: [12-10 pm], Sunday: [12-10 pm], Monday: [11 am-10 pm], Tuesday: [11 am-10 pm], Wednesday: [11 am-10 pm], Thursday: [11 am-10 pm], Friday: [11 am-10 pm]",https://lh5.googleusercontent.com/p/AF1QipNdr2nMGnEne0qgOZ5OZ7OycVO0D17-jZBUI8Qk=w122-h92-k-no,17956315383537761948,0x6ad65d67e6a189bb:0xf931a5b466a67e9c,ChIJu4mh5mdd1moRnH6mZrSlMfk,/g/11sd1ngql0
Pondok Rempah,,"487 Elizabeth St, Melbourne VIC 3004",487 Elizabeth St,Melbourne VIC 3004,"Indonesian restaurant, Halal restaurant","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance, No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Coffee, Halal food, Healthy options, Small plates], Dining options: [Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments], Children: [Good for kids, High chairs], Parking: [Free of charge street parking, Paid parking lot, Paid street parking]",4RJ65XR5+XW,Australia/Melbourne,$20–40,,,,(03) 9078 3838,"(03) 9078 3838, +61 3 9078 3838",YES,Pondok Rempah (owner),107078421988587686354,https://www.google.com/maps/contrib/107078421988587686354,,,1249,4.5,https://search.google.com/local/reviews?placeid=ChIJ2Rj1vTRd1moRiQ_5pDKjCzc&q=Restaurants&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3966443334741331849,https://www.google.com/search?kgmid=/g/11bzvtfyts,-37.8076079,144.95981609999998,http://www.pondokrempah.com.au/,pondokrempah.com.au,"Saturday: [9 am-8:30 pm], Sunday: [9 am-8:30 pm], Monday: [9 am-8:30 pm], Tuesday: [9 am-8:30 pm], Wednesday: [9 am-8:30 pm], Thursday: [9 am-8:30 pm], Friday: [9 am-8:30 pm]",https://lh5.googleusercontent.com/p/AF1QipOtv_eLUREOJl3vfBkSStxmBYJSvb4MmHHYGBmp=w163-h92-k-no,3966443334741331849,0x6ad65d34bdf518d9:0x370ba332a4f90f89,ChIJ2Rj1vTRd1moRiQ_5pDKjCzc,/g/11bzvtfyts
