Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Melbourne Airport,Large airport with an international and 4 domestic terminals that operate 24 hours a day.,"Arrival Dr, Melbourne Airport VIC 3045",Arrival Dr,Melbourne Airport VIC 3045,"International airport, Airports, Tourist attraction","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Toilets], Planning: [Getting tickets in advance recommended], Parking: [Paid multi-storey car park, Paid parking lot, Valet parking]",4RJ68RJR+24,Australia/Melbourne,,,,,(03) 9297 1600,"(03) 9297 1600, +61 3 9297 1600",YES,Melbourne Airport (MEL) (owner),1.09331E+20,https://www.google.com/maps/contrib/109330770763854510893,,,15063,3.8,https://search.google.com/local/reviews?placeid=ChIJFzmq66lZ1moRkPAvBXZWBA8&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1082084875368919184,https://www.google.com/search?kgmid=/m/01nflw,-37.6699188,144.8403449,https://www.melbourneairport.com.au/,melbourneairport.com.au,,https://lh5.googleusercontent.com/p/AF1QipN567nNGxnuaah9yGIymaS7RTgX6spQS0ZJiTbK=w163-h92-k-no,1.08208E+18,0x6ad659a9ebaa3917:0xf045676052ff090,ChIJFzmq66lZ1moRkPAvBXZWBA8,/m/01nflw
Essendon Fields Airport,,"72 Hargrave Ave, Essendon Fields VIC 3041",72 Hargrave Ave,Essendon Fields VIC 3041,"Airport, Airports, Regional airport","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]",4RJ67WF2+MM,Australia/Melbourne,,,,,(03) 9948 9400,"(03) 9948 9400, +61 3 9948 9400",YES,Essendon Fields Airport (MEB) (owner),1.03344E+20,https://www.google.com/maps/contrib/103344083271386611054,,,269,4.3,https://search.google.com/local/reviews?placeid=ChIJcYcR-5Bb1moRgPAvBXZWBA8&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1082084875368919168,https://www.google.com/search?kgmid=/m/059tw6,-37.7257898,144.9016264,https://www.ef.com.au/,ef.com.au,,https://lh5.googleusercontent.com/p/AF1QipMSwkebtOsXgg3tgGFNIpHWydHVQ4BJR-QERbO6=w122-h92-k-no,1.08208E+18,0x6ad65b90fb118771:0xf045676052ff080,ChIJcYcR-5Bb1moRgPAvBXZWBA8,/m/059tw6
T3 Virgin Australia Melbourne Airport,,"Airport Dr, Tullamarine VIC 3045",Airport Dr,Tullamarine VIC 3045,"Airports, Airline","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]",4RJ68RHX+PF,Australia/Melbourne,,,,,,,YES,T3 Virgin Australia Melbourne Airport (owner),1.06153E+20,https://www.google.com/maps/contrib/106153435813387894056,,,899,4.1,https://search.google.com/local/reviews?placeid=ChIJ25nbHr1Z1moRHODteB_geQQ&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=322535274111164444,https://www.google.com/search?kgmid=/g/11bzt4pr6p,-37.6706512,144.8487111,,,,https://lh5.googleusercontent.com/p/AF1QipOFoZb8y4FMYSxNLUor3Nana_bbidG0YB9M869U=w122-h92-k-no,3.22535E+17,0x6ad659bd1edb99db:0x479e01f78ede01c,ChIJ25nbHr1Z1moRHODteB_geQQ,/g/11bzt4pr6p
Moorabbin Airport,,"66 Bundora Parade, Moorabbin Airport VIC 3194",66 Bundora Parade,Moorabbin Airport VIC 3194,Airports,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]",4RJ723FV+GV,Australia/Melbourne,,,,,(03) 8587 8000,"(03) 8587 8000, +61 3 8587 8000",NO,Moorabbin Airport (MBW) (owner),,,,,123,4.2,https://search.google.com/local/reviews?placeid=ChIJYxOy1PZs1moREPAvBXZWBA8&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1082084875368919056,https://www.google.com/search?kgmid=/m/02x2qh,-37.976129,145.0946681,http://www.moorabbinairport.com.au/,moorabbinairport.com.au,,https://lh5.googleusercontent.com/p/AF1QipNuEF2HEcBuB-hlwyeUTsgtISQHgTjqYIB8ghqD=w122-h92-k-no,1.08208E+18,0x6ad66cf6d4b21363:0xf045676052ff010,ChIJYxOy1PZs1moREPAvBXZWBA8,/m/02x2qh
Avalon Airport,,"80 Beach Rd, Lara VIC 3212",80 Beach Rd,Lara VIC 3212,"Airport, Airports, Domestic airport, International airport","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Wi-Fi, ]",4RH6XF69+99,Australia/Melbourne,,,,,(03) 5227 9100,"(03) 5227 9100, +61 3 5227 9100",YES,Avalon Airport (owner),,,,,1178,3.7,https://search.google.com/local/reviews?placeid=ChIJzbr_rSUi1GoRMPAvBXZWBA8&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1082084875368919088,https://www.google.com/search?kgmid=/m/035j_0,-38.0390413,144.4684007,http://www.avalonairport.com.au/,avalonairport.com.au,,https://lh5.googleusercontent.com/p/AF1QipN-2KLxhjGt9Wdx2v9lwUrk10VERPrrpZsjL2Nl=w163-h92-k-no,1.08208E+18,0x6ad42225adffbacd:0xf045676052ff030,ChIJzbr_rSUi1GoRMPAvBXZWBA8,/m/035j_0
Moorabbin Airport Passenger Terminal,,"66 Bundora Parade, Moorabbin Airport VIC 3194",66 Bundora Parade,Moorabbin Airport VIC 3194,Domestic airport,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]",4RJ723FV+4V,Australia/Melbourne,,,,,(03) 8587 8000,"(03) 8587 8000, +61 3 8587 8000",NO,Moorabbin Airport Passenger Terminal (owner),,,"admin@moorabbinairport.com.au, enquiries@mas.vic.edu.au, development@moorabbinairport.com.au",,1,5,https://search.google.com/local/reviews?placeid=ChIJuQKDCDNt1moRdLrT1_lvcy0&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=3275084472886999668,https://www.google.com/search?kgmid=/g/11rvjyykxz,-37.9771281,145.094641,https://www.moorabbinairport.com.au/aviation/facilities,moorabbinairport.com.au,,https://lh5.googleusercontent.com/p/AF1QipOwIBDJGEOHQM6u4Sx2HB-AHQn_BurYvXVGJSV9=w189-h92-k-no,3.27508E+18,0x6ad66d33088302b9:0x2d736ff9d7d3ba74,ChIJuQKDCDNt1moRdLrT1_lvcy0,/g/11rvjyykxz
Access gate to Private Aircraft,,"1 Hargrave Ave, Essendon Fields VIC 3041",1 Hargrave Ave,Essendon Fields VIC 3041,Airports,"Service options: [On-site services], Accessibility: [Wheelchair-accessible car park]",4RJ67VFW+8V,Australia/Melbourne,,,,,0418 335 549,"0418 335 549, +61 418 335 549",NO,Access gate to Private Aircraft (owner),,,,,1,4,https://search.google.com/local/reviews?placeid=ChIJJ1ynhHNb1moRiFYJEa7afMo&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=14590777333918553736,https://www.google.com/search?kgmid=/g/11s1vld9sd,-37.7266433,144.8971595,https://ef.com.au/airport/,ef.com.au,,https://lh5.googleusercontent.com/p/AF1QipNHRb_iJB8t-xXVbrpf65UPKIKPu0DBZJ66NjMB=w122-h92-k-no,1.45908E+19,0x6ad65b7384a75c27:0xca7cdaae11095688,ChIJJ1ynhHNb1moRiFYJEa7afMo,/g/11s1vld9sd
Melbourne Airport,,Victoria 3045,Victoria 3045,,,,4RJ68VG2+RQ,Australia/Melbourne,,,,,,,YES,,,,,,,,,https://www.google.com/maps?cid=361508931170521136,https://www.google.com/search?kgmid=/m/03y6tl,-37.6729492,144.8519672,,,,https://lh5.googleusercontent.com/p/AF1QipNxk2HbwIE09jAj_OT78dliC2gYPyUMIs4FNTNJ=w163-h92-k-no,3.61509E+17,0x6ad658e2a697feeb:0x5045675218cd030,ChIJ6_6XpuJY1moRMNCMIXVWBAU,/m/03y6tl
Melbourne Airport designated smoking area,,"3 Arrival Dr, Tullamarine VIC 3043",3 Arrival Dr,Tullamarine VIC 3043,Domestic airport,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]",4RJ68RHX+6J,Australia/Melbourne,,,,,,,NO,Melbourne Airport designated smoking area (owner),,,,,8,5,https://search.google.com/local/reviews?placeid=ChIJLUXT-rJZ1moRpP9utFOpMg4&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1023066242341076900,https://www.google.com/search?kgmid=/g/11k4p0fgx0,-37.67194,144.8490984,,,,https://lh5.googleusercontent.com/p/AF1QipO4iO5tGehm-qT7wsobJTCq_rlo5Y3cFrHSrilr=w163-h92-k-no,1.02307E+18,0x6ad659b2fad3452d:0xe32a953b46effa4,ChIJLUXT-rJZ1moRpP9utFOpMg4,/g/11k4p0fgx0
Melbourne Jet Base,,"21-23 S Centre Rd, Melbourne Airport VIC 3045",21-23 S Centre Rd,Melbourne Airport VIC 3045,Fixed-base operator,"Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]",4RJ68V63+CQ,Australia/Melbourne,,,,,(03) 8370 9640,"(03) 8370 9640, +61 3 8370 9640",NO,Melbourne Jet Base (owner),,,,,54,4.7,https://search.google.com/local/reviews?placeid=ChIJ46yLGHNZ1moRXFbRjukETRc&q=airport&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=1679003637249037916,https://www.google.com/search?kgmid=/g/11b7q1rqq7,-37.6889633,144.8544408,https://melbournejetbase.com.au/,melbournejetbase.com.au,"Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOjIwWm3GC-5dpHbrFkjeHXS35-L0jyjj4OWoX0=w122-h92-k-no,1.679E+18,0x6ad65973188bace3:0x174d04e98ed1565c,ChIJ46yLGHNZ1moRXFbRjukETRc,/g/11b7q1rqq7
