"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Café Felice",,"461 Bourke St, Melbourne VIC 3000","461 Bourke St","Melbourne VIC 3000","Coffee shop, Cafe","Service options: [Outdoor seating, Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible entrance], Offerings: [Coffee], Dining options: [Breakfast, Lunch, Dessert, Seating], Atmosphere: [Casual], Payments: [Credit cards]","4RJ65XM6+Q3","Australia/Melbourne","$1–20",,,,"(03) 9670 6910","(03) 9670 6910, +61 3 9670 6910","YES","Café Felice (owner)","110685558390935522742","https://www.google.com/maps/contrib/110685558390935522742",,"",45,4.6,"https://search.google.com/local/reviews?placeid=ChIJtcavRktd1moRRnaflFfrKhs&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1957635749434062406","https://www.google.com/search?kgmid=/g/1hc209x32",-37.815553,144.960237,,,"","https://lh5.googleusercontent.com/p/AF1QipMJWtyOSdFBdLUljyZnCwLjNbbNrGigqldrwiHy=w122-h92-k-no","1957635749434062406","0x6ad65d4b46afc6b5:0x1b2aeb57949f7646","ChIJtcavRktd1moRRnaflFfrKhs","/g/1hc209x32"
"Supernova coffee",,"364 Little Collins St, Melbourne VIC 3000","364 Little Collins St","Melbourne VIC 3000","Coffee shop, Cafe","Service options: [Takeaway, Dine-in, No delivery], Offerings: [Coffee], Dining options: [Lunch, Dessert], Atmosphere: [Casual], Payments: [Credit cards]","4RJ65XM6+RW","Australia/Melbourne","$1–20",,,,,"","YES","Supernova coffee (owner)","112413905703189033293","https://www.google.com/maps/contrib/112413905703189033293","","",54,4.8,"https://search.google.com/local/reviews?placeid=ChIJg75UFABD1moR6dQX93HuAWs&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7710706210279249129","https://www.google.com/search?kgmid=/g/11y2n50zhb",-37.815461,144.96231989999998,"http://supernovacoffeecompany.com/","supernovacoffeecompany.com","Tuesday: [7:15 am-3:30 pm], Wednesday: [7:15 am-3:30 pm], Thursday: [7:15 am-3:30 pm], Friday: [7:15 am-3:30 pm], Saturday: [Closed], Sunday: [Closed], Monday: [7:15 am-3:30 pm]","https://lh5.googleusercontent.com/p/AF1QipNUHsTANPhqh271-NBZIW5ZErZkWHhhdjMlsi6N=w80-h106-k-no","7710706210279249129","0x6ad643001454be83:0x6b01ee71f717d4e9","ChIJg75UFABD1moR6dQX93HuAWs","/g/11y2n50zhb"
"Manchester Press","Choice coffee, brekkie & bagels in a bright, airy space with eclectic decor & a vintage-chic vibe.","8 Rankins Ln, Melbourne VIC 3000","8 Rankins Ln","Melbourne VIC 3000","Coffee shop, Bagel shop, Breakfast restaurant, Brunch restaurant, Cafe","Service options: [Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, No wheelchair-accessible car park], Offerings: [Coffee, Healthy options, Vegan options, Vegetarian options], Dining options: [Breakfast, Brunch, Lunch, Dessert], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Payments: [Credit cards, Mobile payments], Parking: [Paid street parking]","4RJ65XP6+FV","Australia/Melbourne","$20–40",,,,"0412 912 999","0412 912 999, +61 412 912 999","YES","Manchester Press (owner)","100743673703205659927","https://www.google.com/maps/contrib/100743673703205659927","support@fb.com","",2064,4.3,"https://search.google.com/local/reviews?placeid=ChIJg1wLO7VC1moRrzObM92WgkU&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5008731612387161007","https://www.google.com/search?kgmid=/g/1tdqhm32",-37.813874999999996,144.96213609999998,"https://www.facebook.com/manchesterpress","facebook.com","Tuesday: [7:30 am-3:30 pm], Wednesday: [7:30 am-3:30 pm], Thursday: [7:30 am-3:30 pm], Friday: [7:30 am-3:30 pm], Saturday: [8:30 am-4 pm], Sunday: [8:30 am-4 pm], Monday: [7:30 am-3:30 pm]","https://lh5.googleusercontent.com/p/AF1QipO56EgH9XQrat4IM7uC6W2chegCf6-PS13OJ_OW=w163-h92-k-no","5008731612387161007","0x6ad642b53b0b5c83:0x458296dd339b33af","ChIJg1wLO7VC1moRrzObM92WgkU","/g/1tdqhm32"
"Brown Sugar Cafe","Compact, laid-back cafe with prints on the wall and lane seating, for coffee and hot breakfasts.","25 Block Pl, Melbourne VIC 3000","25 Block Pl","Melbourne VIC 3000","Coffee shop, Cafe","Service options: [Outdoor seating, Kerbside pickup, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating], Offerings: [Alcohol, Coffee, Healthy options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets], Atmosphere: [Casual, Cosy], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Pets: [Dogs allowed outside]","4RJ65XM7+RP","Australia/Melbourne","$20–40",,,,,"","YES","Brown Sugar Cafe (owner)","103263299839271027142","https://www.google.com/maps/contrib/103263299839271027142","","",300,4.2,"https://search.google.com/local/reviews?placeid=ChIJsz9oU7RC1moRTaRGzVGyN10&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6717033433652438093","https://www.google.com/search?kgmid=/g/1tcyxkjy",-37.815395099999996,144.964329,"https://linktr.ee/BrownSugarMelbourne","linktr.ee","Tuesday: [7:30 am-4 pm], Wednesday: [7:30 am-4 pm], Thursday: [7:30 am-4 pm], Friday: [7:30 am-4 pm], Saturday: [7:30 am-4 pm], Sunday: [7:30 am-4 pm], Monday: [7:30 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipPWhCGrjXpTYQlFVHDCMYDwZ4uA4JLvisIxpWaO=w122-h92-k-no","6717033433652438093","0x6ad642b453683fb3:0x5d37b251cd46a44d","ChIJsz9oU7RC1moRTaRGzVGyN10","/g/1tcyxkjy"
"Parlance Coffee",,"250 Elizabeth St, Melbourne VIC 3000","250 Elizabeth St","Melbourne VIC 3000","Coffee shop","Service options: [Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible entrance], Offerings: [Coffee], Dining options: [Brunch, Lunch, Dessert], Atmosphere: [Casual, Cosy], Payments: [Credit cards]","4RJ65XP7+X4","Australia/Melbourne","$1–20",,,,"(03) 9650 1456","(03) 9650 1456, +61 3 9650 1456","YES","Parlance Coffee (owner)","115243183249002316043","https://www.google.com/maps/contrib/115243183249002316043","","",60,4.3,"https://search.google.com/local/reviews?placeid=ChIJvY3SZ5tD1moRrw9888Iui6g&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12144852234978201519","https://www.google.com/search?kgmid=/g/11t2qc21vx",-37.812564,144.9628184,"https://parlance.coffee/","parlance.coffee","Tuesday: [8:30 am-6 pm], Wednesday: [8:30 am-6 pm], Thursday: [8:30 am-6 pm], Friday: [8:30 am-6 pm], Saturday: [8:30 am-6 pm], Sunday: [8:30 am-6 pm], Monday: [8:30 am-6 pm]","https://lh5.googleusercontent.com/p/AF1QipPsGtonSoXtMvQwyH3PqyjcR7I2VQW7kL2Pes6T=w80-h100-k-no","12144852234978201519","0x6ad6439b67d28dbd:0xa88b2ec2f37c0faf","ChIJvY3SZ5tD1moRrw9888Iui6g","/g/11t2qc21vx"
"Federal Coffee","Brunch and counter food, in a heated outdoor cafe under the arches of an iconic classical building.","Shop 23/350 Bourke St, Melbourne VIC 3000","Shop 23/350 Bourke St","Melbourne VIC 3000","Coffee shop, Breakfast restaurant, Brunch restaurant, Cafe, Lunch restaurant","Service options: [Outdoor seating, Kerbside pickup, Takeaway, Dine-in, No delivery], Highlights: [Rooftop seating], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Healthy options, Prepared foods, Small plates, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Catering, Dessert, Seating], Amenities: [Bar on site, Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Pets: [Dogs allowed]","4RJ65XP7+H8","Australia/Melbourne","$20–40",,,,"(03) 9041 5269","(03) 9041 5269, +61 3 9041 5269","YES","Federal Coffee (owner)","100022858095975321409","https://www.google.com/maps/contrib/100022858095975321409","","",462,4.1,"https://search.google.com/local/reviews?placeid=ChIJlVWPC7VC1moRMeSMIJ5Uhqw&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12431716859530503217","https://www.google.com/search?kgmid=/m/0wxpbxw",-37.8135872,144.96330129999998,"https://www.federalcoffee.com.au/","federalcoffee.com.au","Tuesday: [8 am-3 pm], Wednesday: [8 am-3 pm], Thursday: [8 am-3 pm], Friday: [8 am-3 pm], Saturday: [8 am-3:30 pm], Sunday: [8 am-3:30 pm], Monday: [8 am-3 pm]","https://lh5.googleusercontent.com/p/AF1QipPHAJKuv1VlHNtQZOrLI60kq4RNBv2vefmcjg5y=w138-h92-k-no","12431716859530503217","0x6ad642b50b8f5595:0xac86549e208ce431","ChIJlVWPC7VC1moRMeSMIJ5Uhqw","/m/0wxpbxw"
"Crema Cafe",,"385 Bourke St, Melbourne VIC 3000","385 Bourke St","Melbourne VIC 3000","Coffee shop, Cafe","Service options: [Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible entrance], Offerings: [Coffee], Dining options: [Brunch, Dessert], Atmosphere: [Casual], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XP7+25","Australia/Melbourne","$1–20",,,,,"","NO","Crema Cafe (owner)",,"",,"",33,4.8,"https://search.google.com/local/reviews?placeid=ChIJz-Jh4rRC1moRzRGlnS97JVo&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6495733481990328781","https://www.google.com/search?kgmid=/g/1tdjr8gd",-37.814929899999996,144.96295179999998,,,"Tuesday: [7 am-3:30 pm], Wednesday: [7 am-3:30 pm], Thursday: [7 am-3:30 pm], Friday: [7 am-3:30 pm], Saturday: [Closed], Sunday: [Closed], Monday: [7 am-3:30 pm]","https://lh5.googleusercontent.com/p/AF1QipODlHza1ur9XnAYOqHqvPIXzhk1JoUDV2qfUk_H=w80-h106-k-no","6495733481990328781","0x6ad642b4e261e2cf:0x5a257b2f9da511cd","ChIJz-Jh4rRC1moRzRGlnS97JVo","/g/1tdjr8gd"
"Bearded Brothers Espresso",,"342 Little Collins St, Melbourne VIC 3000","342 Little Collins St","Melbourne VIC 3000","Coffee store, Cafe","Service options: [Kerbside pickup, In-store pick-up, In-store shopping, On-site services, Takeaway, Dine-in, No delivery, No same-day delivery], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Wi-Fi, ], Recycling: [Electronics], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid multi-storey car park, Paid parking lot, Paid street parking]","4RJ65XM7+V8","Australia/Melbourne","$1–20",,,,,"","YES","Bearded Brothers Espresso (owner)","109249333170585164167","https://www.google.com/maps/contrib/109249333170585164167","","",151,4.8,"https://search.google.com/local/reviews?placeid=ChIJUwF5_rRC1moRhcYk_DNGgDY&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=3927216064154617477","https://www.google.com/search?kgmid=/g/11f29xmdfg",-37.8152547,144.96331379999998,"https://beardedbrothersespresso.com/","beardedbrothersespresso.com","Tuesday: [6 am-3 pm], Wednesday: [6 am-3 pm], Thursday: [6 am-3 pm], Friday: [6 am-3 pm], Saturday: [Closed], Sunday: [Closed], Monday: [6 am-3 pm]","https://lh5.googleusercontent.com/p/AF1QipPt8j2g1hg4_VQfF3TVtq0vyl5ztMex_86n9p79=w80-h100-k-no","3927216064154617477","0x6ad642b4fe790153:0x36804633fc24c685","ChIJUwF5_rRC1moRhcYk_DNGgDY","/g/11f29xmdfg"
"MAKER Lt Bourke",,"387 Little Bourke St, Melbourne VIC 3000","387 Little Bourke St","Melbourne VIC 3000","Coffee shop","Service options: [Outdoor seating, On-site services, Takeaway, Dine-in, No delivery], Highlights: [Live performances], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, No wheelchair-accessible car park], Offerings: [Coffee], Dining options: [Breakfast, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Planning: [Doesn't accept reservations], Payments: [Credit cards]","4RJ65XP6+FH","Australia/Melbourne","$1–20",,,,,"","YES","MAKER Lt Bourke (owner)","112194176650107559465","https://www.google.com/maps/contrib/112194176650107559465","","",450,4.6,"https://search.google.com/local/reviews?placeid=ChIJw3ZAzdJD1moRdTHBsWBAcao&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12281668442859319669","https://www.google.com/search?kgmid=/g/11s0kkw5j4",-37.8137885,144.96139449999998,"https://makercoffee.com.au/","makercoffee.com.au","Tuesday: [7 am-4 pm], Wednesday: [7 am-4 pm], Thursday: [7 am-4 pm], Friday: [7 am-4 pm], Saturday: [8 am-4 pm], Sunday: [8 am-4 pm], Monday: [7 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipPC8vH9zkWcBF74xDP6_PFnv8mfA14UwNrUs3t5=w80-h142-k-no","12281668442859319669","0x6ad643d2cd4076c3:0xaa714060b1c13175","ChIJw3ZAzdJD1moRdTHBsWBAcao","/g/11s0kkw5j4"
"Blue Doors Coffee Melbourne","Breakfasts and light lunches in a trendy, minimalist cafe with white walls and blackboard menus.","19 Somerset Pl, Melbourne VIC 3000","19 Somerset Pl","Melbourne VIC 3000","Coffee shop, Coffee store","Service options: [Outdoor seating, On-site services, Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating], Offerings: [Alcohol, Beer, Coffee, Prepared foods], Dining options: [Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Doesn't accept reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs], Pets: [Dogs allowed, Dogs allowed inside, Dogs allowed outside]","4RJ65XP6+FX","Australia/Melbourne","$1–20",,,,"0431 276 898","0431 276 898, +61 431 276 898","YES","Blue Doors Coffee Melbourne (owner)","101422148986032509605","https://www.google.com/maps/contrib/101422148986032509605","","",615,4.4,"https://search.google.com/local/reviews?placeid=ChIJG7NvPrVC1moRsKRHrZ0JnVg&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6385270419502900400","https://www.google.com/search?kgmid=/g/1tfg36r9",-37.813758299999996,144.9624703,"https://bluedoors.com.au/","bluedoors.com.au","Tuesday: [7:30 am-4:30 pm], Wednesday: [7:30 am-4:30 pm], Thursday: [7:30 am-4:30 pm], Friday: [7:30 am-4:30 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [7:30 am-4:30 pm]","https://lh5.googleusercontent.com/p/AF1QipOtdSKtHMGlSwiIShW7ewZP5SvJWqCHNvusx0Ga=w80-h106-k-no","6385270419502900400","0x6ad642b53e6fb31b:0x589d099dad47a4b0","ChIJG7NvPrVC1moRsKRHrZ0JnVg","/g/1tfg36r9"
