"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Royal Exhibition Building","Landmark 19th-century exhibition centre, topped with a dome, and set amid landscaped gardens.","9 Nicholson St, Carlton VIC 3053","9 Nicholson St","Carlton VIC 3053","Convention center, Conference center, Cultural landmark, Historical landmark, Tourist attraction","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Planning: [Getting tickets in advance recommended]","4RJ65XWC+4M","Australia/Melbourne",,,,,"13 11 02","13 11 02, +61 131102","YES","Royal Exhibition Building (owner)","103342236430917632565","https://www.google.com/maps/contrib/103342236430917632565","","",5622,4.6,"https://search.google.com/local/reviews?placeid=ChIJcd7_l9lC1moRN3U9OQmxoEQ&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4945147044025955639","https://www.google.com/search?kgmid=/m/02nyfv",-37.8046891,144.9716502,"https://museumsvictoria.com.au/reb/","museumsvictoria.com.au","","https://lh5.googleusercontent.com/p/AF1QipN-PV6M26k7XQBTl-aurYjyArjD35Hk5f5MFFp_=w122-h92-k-no","4945147044025955639","0x6ad642d997ffde71:0x44a0b109393d7537","ChIJcd7_l9lC1moRN3U9OQmxoEQ","/m/02nyfv"
"Melbourne Museum","Modern building of an institution founded in 1854 containing dinosaur and regional history exhibits.","11 Nicholson St, Carlton VIC 3053","11 Nicholson St","Carlton VIC 3053","History museum, Museum, Natural history museum, Tourist attraction, Wedding venue","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, ], Amenities: [Gender-neutral toilets, Restaurant, Toilets, Wi-Fi, ], Crowd: [Family friendly, LGBTQ+ friendly, Transgender safe space], Planning: [Getting tickets in advance recommended], Children: [Discounts for kids, Good for kids, Has changing table(s), Kid-friendly activities, Nursing room]","4RJ65XWC+MM","Australia/Melbourne",,,,,"13 11 02","13 11 02, +61 131102","YES","Melbourne Museum (owner)","100253097724051678566","https://www.google.com/maps/contrib/100253097724051678566","","",16247,4.6,"https://search.google.com/local/reviews?placeid=ChIJn97JQNpC1moRIcJsVMEQLI8&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10316639268930109985","https://www.google.com/search?kgmid=/m/01k1wc",-37.803273,144.9717408,"https://museumsvictoria.com.au/melbournemuseum","museumsvictoria.com.au","Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm], Wednesday: [9 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipMZSmkHg3fGQxdqPEpyFRY5LFK_tPOk6CiCShZv=w161-h92-k-no","10316639268930109985","0x6ad642da40c9de9f:0x8f2c10c1546cc221","ChIJn97JQNpC1moRIcJsVMEQLI8","/m/01k1wc"
"Shot Tower Museum","Late 19th-century tower used to make lead shot, now a museum enclosed in a shopping mall atrium.","Melbourne Central/211 La Trobe St, Melbourne VIC 3000","Melbourne Central/211 La Trobe St","Melbourne VIC 3000","Museum, Tourist attraction","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Restaurant, Toilets], Children: [Good for kids]","4RJ65XQ7+R5","Australia/Melbourne",,,,,"(03) 9922 1122","(03) 9922 1122, +61 3 9922 1122","NO","Shot Tower Museum (owner)",,"","","",113,4,"https://search.google.com/local/reviews?placeid=ChIJx18s48pC1moRPwB-wTgc7kg&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5255168845277954111","https://www.google.com/search?kgmid=/g/1q5cch1r7",-37.8103869,144.9629577,"https://www.melbournecentral.com.au/visitor-info/our-heritage","melbournecentral.com.au","Thursday: [10 am-7 pm], Friday: [10 am-7 pm], Saturday: [10 am-7 pm], Sunday: [10 am-7 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipPoxkYet4m0Q2SyYw2UCdBzQW1roLYTMwjT2S6x=w80-h106-k-no","5255168845277954111","0x6ad642cae32c5fc7:0x48ee1c38c17e003f","ChIJx18s48pC1moRPwB-wTgc7kg","/g/1q5cch1r7"
"Immigration Museum (Museums Victoria)","Multimedia exhibits documenting the history of immigration in Australia, plus a gift shop.","400 Flinders St, Melbourne VIC 3000","400 Flinders St","Melbourne VIC 3000","Museum, History museum, Tourist attraction","Service options: [On-site services], Highlights: [Live performances], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets, Wi-Fi, , No restaurant], Crowd: [Family friendly], Children: [Good for kids]","4RJ65XJ6+85","Australia/Melbourne",,,,,"13 11 02","13 11 02, +61 131102","YES","Immigration Museum (Museums Victoria) (owner)","105785375800779283360","https://www.google.com/maps/contrib/105785375800779283360","","",2822,4.4,"https://search.google.com/local/reviews?placeid=ChIJ1fB5g7ZC1moRIxI14Xd2bYs&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10046816600984982051","https://www.google.com/search?kgmid=/m/05b__gq",-37.8192442,144.96045469999999,"https://museumsvictoria.com.au/immigrationmuseum/","museumsvictoria.com.au","Thursday: [10 am-5 pm], Friday: [10 am-5 pm], Saturday: [10 am-5 pm], Sunday: [10 am-5 pm], Monday: [10 am-5 pm], Tuesday: [10 am-5 pm], Wednesday: [10 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipN1ytINHXVe6EYArk6rn_ckq3BeoRKCWefAFhj9=w122-h92-k-no","10046816600984982051","0x6ad642b68379f0d5:0x8b6d7677e1351223","ChIJ1fB5g7ZC1moRIxI14Xd2bYs","/m/05b__gq"
"Museum of Chinese Australian History","Exhibits chronicling the heritage & culture of Australia's Chinese community, plus a gift shop.","22 Cohen Pl, Melbourne VIC 3000","22 Cohen Pl","Melbourne VIC 3000","History museum, Education center, Gift shop, Tourist attraction","Service options: [On-site services not available], Highlights: [Live performances], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets, Wi-Fi, , No restaurant], Crowd: [Family friendly], Children: [Good for kids]","4RJ65XQ9+MM","Australia/Melbourne",,,,,"(03) 9662 2888","(03) 9662 2888, +61 3 9662 2888","YES","Museum of Chinese Australian History (owner)","112000798709317066639","https://www.google.com/maps/contrib/112000798709317066639","","",336,4.4,"https://search.google.com/local/reviews?placeid=ChIJt7zSJ8lC1moRIqMuY1-bRIk&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=9891201515600651042","https://www.google.com/search?kgmid=/m/0gvvcyj",-37.8107775,144.969144,"http://www.chinesemuseum.com.au/","chinesemuseum.com.au","Thursday: [10 am-4 pm], Friday: [10 am-4 pm], Saturday: [10 am-4 pm], Sunday: [10 am-4 pm], Monday: [10 am-4 pm], Tuesday: [10 am-4 pm], Wednesday: [10 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipN1jC9XNeb5-516uE7R6EQ81-g1GTvkPojIyNKC=w196-h92-k-no","9891201515600651042","0x6ad642c927d2bcb7:0x89449b5f632ea322","ChIJt7zSJ8lC1moRIqMuY1-bRIk","/m/0gvvcyj"
"Hellenic Museum",,"280 William St, Melbourne VIC 3000","280 William St","Melbourne VIC 3000","Art museum, Art gallery, Arts organization, Historical landmark, History museum, Museum, Tourist attraction","Service options: [On-site services], Highlights: [Live performances], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets, Wi-Fi, , No restaurant], Crowd: [Family friendly], Children: [Good for kids]","4RJ65XQ4+4V","Australia/Melbourne",,,,,"(03) 8615 9016","(03) 8615 9016, +61 3 8615 9016","YES","Hellenic Museum (owner)","108325360464107706457","https://www.google.com/maps/contrib/108325360464107706457","","",465,4.6,"https://search.google.com/local/reviews?placeid=ChIJxzd-XUpd1moR_b-XJRMznv4&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=18347158089282076669","https://www.google.com/search?kgmid=/m/0zrs7cc",-37.812145099999995,144.9571255,"http://www.hellenic.org.au/","hellenic.org.au","Thursday: [10 am-4 pm], Friday: [10 am-4 pm], Saturday: [10 am-4 pm], Sunday: [10 am-4 pm], Monday: [10 am-4 pm], Tuesday: [10 am-4 pm], Wednesday: [10 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipMme6oehBOnbW6pEuLnzf9GeAwqjxoJT7CbaTc1=w122-h92-k-no","18347158089282076669","0x6ad65d4a5d7e37c7:0xfe9e33132597bffd","ChIJxzd-XUpd1moR_b-XJRMznv4","/m/0zrs7cc"
"Children's Gallery (Melbourne Museum)",,"Carlton VIC 3053","Carlton VIC 3053","","Tourist attraction, Exhibit","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ65XWC+Q5","Australia/Melbourne",,,,,,"","NO","Children's Gallery (Melbourne Museum) (owner)",,"","","",400,4.7,"https://search.google.com/local/reviews?placeid=ChIJCW699NBC1moRGEIbxy7BbFc&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6299622385437590040","https://www.google.com/search?kgmid=/g/11gfjrq243",-37.8030374,144.97049049999998,"https://museumsvictoria.com.au/melbournemuseum/whats-on/childrens-gallery/","museumsvictoria.com.au","Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm], Wednesday: [9 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipOi-sLbNPZ8HGIUWJgFMYR9sv34QjkwYdzwP5GT=w138-h92-k-no","6299622385437590040","0x6ad642d0f4bd6e09:0x576cc12ec71b4218","ChIJCW699NBC1moRGEIbxy7BbFc","/g/11gfjrq243"
"Old Treasury Building","A 19th-century building with a museum showcasing the history of Melbourne & Victoria.","20 Spring St, East Melbourne VIC 3002","20 Spring St","East Melbourne VIC 3002","Museum, Historical landmark, History museum, Tourist attraction","Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible toilet, No wheelchair-accessible car park], Amenities: [Toilets, No restaurant], Crowd: [Family friendly], Children: [Good for kids]","4RJ65XPF+PQ","Australia/Melbourne",,,,,"(03) 9651 2233","(03) 9651 2233, +61 3 9651 2233","YES","Old Treasury Building (owner)","109015720133140662980","https://www.google.com/maps/contrib/109015720133140662980","","",1360,4.5,"https://search.google.com/local/reviews?placeid=ChIJQ9RYXMZC1moRO66tYKgPofI&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=17483272444279893563","https://www.google.com/search?kgmid=/m/0c96q5",-37.8131726,144.97439219999998,"http://www.oldtreasurybuilding.org.au/","oldtreasurybuilding.org.au","Thursday: [10 am-4 pm], Friday: [10 am-4 pm], Saturday: [Closed], Sunday: [10 am-4 pm], Monday: [10 am-4 pm], Tuesday: [10 am-4 pm], Wednesday: [10 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipODmC4w4wNFwo0EhFfHWiPdEql-ciHFrrlFFLTs=w92-h92-k-no","17483272444279893563","0x6ad642c65c58d443:0xf2a10fa860adae3b","ChIJQ9RYXMZC1moRO66tYKgPofI","/m/0c96q5"
"Old Melbourne Gaol","Now a museum with self & guided tours, this storied tri-level jail once housed notorious inmates.","377 Russell St, Melbourne VIC 3000","377 Russell St","Melbourne VIC 3000","Museum, Tourist attraction","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets, No restaurant], Children: [Good for kids]","4RJ65XR8+V4","Australia/Melbourne",,,,,"(03) 9656 9889","(03) 9656 9889, +61 3 9656 9889","YES","Old Melbourne Gaol (owner)","116244843089957449305","https://www.google.com/maps/contrib/116244843089957449305","","",3190,4.5,"https://search.google.com/local/reviews?placeid=ChIJYUcwasxC1moResepeNQs7Z0&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11379801124504192890","https://www.google.com/search?kgmid=/m/04fb5r",-37.807832,144.9653171,"http://www.oldmelbournegaol.com.au/","oldmelbournegaol.com.au","Thursday: [10 am-5 pm], Friday: [10 am-5 pm], Saturday: [10 am-5 pm], Sunday: [10 am-5 pm], Monday: [10 am-5 pm], Tuesday: [10 am-5 pm], Wednesday: [10 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipMgQ4eXdW4wp1OQQAgv9r3c0a58F8D9Sd5W78f1=w137-h92-k-no","11379801124504192890","0x6ad642cc6a304761:0x9ded2cd478a9c77a","ChIJYUcwasxC1moResepeNQs7Z0","/m/04fb5r"
"Grainger Museum","Autobiographical museum of celebrated composer & pianist Percy Grainger with over 50,000 items.","University of Melbourne, 13 Royal Parade, Parkville VIC 3052","University of Melbourne","13 Royal Parade","Museum, Tourist attraction","Highlights: [Live performances], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Amenities: [Gender-neutral toilets, Toilets], Children: [Good for kids]","4RJ66X35+38","Australia/Melbourne",,,,,,"","YES","Grainger Museum (owner)","102500977397590889038","https://www.google.com/maps/contrib/102500977397590889038","","",81,4.5,"https://search.google.com/local/reviews?placeid=ChIJ_dBZXSxd1moRWA0wMvYa5VA&q=Museums&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5829094937407262040","https://www.google.com/search?kgmid=/m/0g9w12j",-37.7972836,144.95835979999998,"http://www.grainger.unimelb.edu.au/","grainger.unimelb.edu.au","Thursday: [Closed], Friday: [Closed], Saturday: [Closed], Sunday: [Closed], Monday: [1-4 pm], Tuesday: [Closed], Wednesday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipPlvqr_m7pLdqkr2qicXvw3DJdipFV_6GTysiOw=w122-h92-k-no","5829094937407262040","0x6ad65d2c5d59d0fd:0x50e51af632300d58","ChIJ_dBZXSxd1moRWA0wMvYa5VA","/m/0g9w12j"
