"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Errol Street Reserve",,"Errol St, North Melbourne VIC 3051","Errol St","North Melbourne VIC 3051","Park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids], Pets: [Dogs allowed]","4RJ66X22+56","Australia/Melbourne",,,,,,"","NO","Errol Street Reserve (owner)",,"",,"",31,4.4,"https://search.google.com/local/reviews?placeid=ChIJVbGGDhNd1moRNGXatgaPKlw&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6641277859511559476","https://www.google.com/search?kgmid=/g/11h056grgy",-37.799546,144.95052099999998,,,"","https://lh5.googleusercontent.com/p/AF1QipMxvMCJoOFZm4t3A02nmsoI5EJqEEZiP98935sA=w122-h92-k-no","6641277859511559476","0x6ad65d130e86b155:0x5c2a8f06b6da6534","ChIJVbGGDhNd1moRNGXatgaPKlw","/g/11h056grgy"
"Leveson Street Park",,"North Melbourne VIC 3051","North Melbourne VIC 3051","","Park","Accessibility: [Wheelchair-accessible entrance], Children: [Good for kids], Pets: [Dogs allowed]","4RJ65XX2+QM","Australia/Melbourne",,,,,,"","NO","Leveson Street Park (owner)",,"",,"",4,4,"https://search.google.com/local/reviews?placeid=ChIJu0pLKHRd1moRKmnt4yUl89c&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15560821982163200298","https://www.google.com/search?kgmid=/g/11pzhkzk2j",-37.8005108,144.9517129,,,"Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOTGOZ7pFAMwQKcE9CMDr-QX6XUWe4TLn6N6C36=w163-h92-k-no","15560821982163200298","0x6ad65d74284b4abb:0xd7f32525e3ed692a","ChIJu0pLKHRd1moRKmnt4yUl89c","/g/11pzhkzk2j"
"Royal Park Nature Play Playground",,"28 Gatehouse St, Parkville VIC 3052","28 Gatehouse St","Parkville VIC 3052","Park, Playground","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Public toilet, Slides, Swings]","4RJ66X32+WJ","Australia/Melbourne",,,,,"(03) 9658 9658","(03) 9658 9658, +61 3 9658 9658","NO","Royal Park Nature Play Playground (owner)",,"","","",1046,4.8,"https://search.google.com/local/reviews?placeid=ChIJv7T3Ny9d1moRs-npmoZtz_0&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=18288957036666939827","https://www.google.com/search?kgmid=/g/11cly69yd3",-37.7952443,144.9516008,"https://www.melbourne.vic.gov.au/community/parks-open-spaces/major-parks-gardens/Pages/royal-park.aspx","melbourne.vic.gov.au","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipNMsUHm_e8EQbUeDqOZ0i8fvZ9l0tVOlVeM84f6=w122-h92-k-no","18288957036666939827","0x6ad65d2f37f7b4bf:0xfdcf6d869ae9e9b3","ChIJv7T3Ny9d1moRs-npmoZtz_0","/g/11cly69yd3"
"Hawke & Adderley Street Park",,"100 Hawke St, West Melbourne VIC 3003","100 Hawke St","West Melbourne VIC 3003","Park","Accessibility: [Wheelchair-accessible entrance], Amenities: [Slides, Swings], Children: [Good for kids, Playground], Pets: [Dogs allowed]","4RJ65WRV+GX","Australia/Melbourne",,,,,,"","NO","Hawke & Adderley Street Park (owner)",,"",,"",48,4.1,"https://search.google.com/local/reviews?placeid=ChIJMzoD9mRd1moRkrn7f7BTuCc&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2862129580720503186","https://www.google.com/search?kgmid=/g/11h_6stsks",-37.8086511,144.9449953,,,"Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipNpZcWS8DDU4I6IPDIIWXDvPUF1inINjBL0sH9u=w163-h92-k-no","2862129580720503186","0x6ad65d64f6033a33:0x27b853b07ffbb992","ChIJMzoD9mRd1moRkrn7f7BTuCc","/g/11h_6stsks"
"Eades Park",,"1 Chetwynd St, West Melbourne VIC 3003","1 Chetwynd St","West Melbourne VIC 3003","Park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Slides, Swings], Children: [Good for kids, Playground], Pets: [Dogs allowed]","4RJ65XV2+3J","Australia/Melbourne",,,,,,"","NO","Eades Park (owner)",,"",,"",135,4.2,"https://search.google.com/local/reviews?placeid=ChIJzxn3lTdd1moRnqOSMRCjw9E&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15115104064332014494","https://www.google.com/search?kgmid=/g/1v8k_rl3",-37.807307099999996,144.9515543,,,"Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOQ3O7tgTW4uTtXbcsgefp7j7EScdhjMlHAi9SK=w163-h92-k-no","15115104064332014494","0x6ad65d3795f719cf:0xd1c3a3103192a39e","ChIJzxn3lTdd1moRnqOSMRCjw9E","/g/1v8k_rl3"
"Pleasance Gardens",,"Abbotsford St, North Melbourne VIC 3051","Abbotsford St","North Melbourne VIC 3051","City park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids], Pets: [Dogs allowed]","4RJ66W3W+F6","Australia/Melbourne",,,,,,"","YES","Pleasance Gardens (owner)","109344502488047136560","https://www.google.com/maps/contrib/109344502488047136560",,"",24,4.4,"https://search.google.com/local/reviews?placeid=ChIJV8P3enxd1moR2c33b8furaI&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11722287945459682777","https://www.google.com/search?kgmid=/g/11g2341d68",-37.7963009,144.945621,,,"Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipNcYXuGVRNfThrm7mAks-EXuWvNJ4WyhBWEGlNo=w163-h92-k-no","11722287945459682777","0x6ad65d7c7af7c357:0xa2adeec76ff7cdd9","ChIJV8P3enxd1moR2c33b8furaI","/g/11g2341d68"
"South Lawn",,"South Lawn, Parkville VIC 3052","Parkville VIC 3052","","Park, Tourist attraction","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids]","4RJ66X26+G3","Australia/Melbourne",,,,,"(03) 9035 5511","(03) 9035 5511, +61 3 9035 5511","NO","South Lawn (owner)",,"","","",429,4.7,"https://search.google.com/local/reviews?placeid=ChIJ____uCxd1moRK90qAjEQLbc&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=13199223885568597291","https://www.google.com/search?kgmid=/g/11cm08kw0k",-37.7986985,144.9602156,"http://www.unimelb.edu.au/","unimelb.edu.au","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipPkDuGBHATKZIiuxeK-NWVJYYm2golTQQuXtB2F=w122-h92-k-no","13199223885568597291","0x6ad65d2cb8ffffff:0xb72d1031022add2b","ChIJ____uCxd1moRK90qAjEQLbc","/g/11cm08kw0k"
"Princes Park",,"200-590 Royal Parade, Carlton North VIC 3054","200-590 Royal Parade","Carlton North VIC 3054","Park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Has a tennis court, Picnic tables, Public toilet, Slides, Swings], Children: [Good for kids, Good for kids birthday, Playground], Pets: [Dog park, Dogs allowed]","4RJ66X86+2H","Australia/Melbourne",,,,,"(03) 9658 9658","(03) 9658 9658, +61 3 9658 9658","NO","Princes Park (owner)",,"","","",1196,4.6,"https://search.google.com/local/reviews?placeid=ChIJVxrwNctc1moRYZYmbAuR-_E&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=17436689860540143201","https://www.google.com/search?kgmid=/m/07r000",-37.7849822,144.9613756,"https://www.melbourne.vic.gov.au/SiteCollectionDocuments/princes-park-master-plan.pdf","melbourne.vic.gov.au","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipPAW9kvR8YKSP1fmeWFq2TFqTNRzp5bpRi5sKHE=w163-h92-k-no","17436689860540143201","0x6ad65ccb35f01a57:0xf1fb910b6c269661","ChIJVxrwNctc1moRYZYmbAuR-_E","/m/07r000"
"Coronet Park",,"31 Coronet St, Flemington VIC 3031","31 Coronet St","Flemington VIC 3031","Park","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Picnic tables, Slides, Swings], Children: [Good for kids, Playground], Pets: [Dogs allowed]","4RJ66W7F+H8","Australia/Melbourne",,,,,,"","NO","Coronet Park (owner)",,"",,"",31,4.6,"https://search.google.com/local/reviews?placeid=ChIJGZLAFwRd1moRaKgCjW_AyxA&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1210272510218774632","https://www.google.com/search?kgmid=/g/11dxb3hmwy",-37.7860033,144.9232602,,,"","https://lh5.googleusercontent.com/p/AF1QipMG2gdYVOPlIa3P8Z-FLcKwrUnxBC2EJQJpechF=w163-h92-k-no","1210272510218774632","0x6ad65d0417c09219:0x10cbc06f8d02a868","ChIJGZLAFwRd1moRaKgCjW_AyxA","/g/11dxb3hmwy"
"Flagstaff Gardens","Spacious, tranquil park with landscaped gardens & sculptures, plus picnic & recreational facilities.","309-311 William St, West Melbourne VIC 3003","309-311 William St","West Melbourne VIC 3003","Park, State park, Tourist attraction","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: [Has a tennis court, Picnic tables, Public toilet, Slides, Swings], Children: [Good for kids, Good for kids birthday, Playground], Pets: [Dog park, Dogs allowed]","4RJ65XQ3+QR","Australia/Melbourne",,,,,"(03) 9658 9658","(03) 9658 9658, +61 3 9658 9658","NO","Flagstaff Gardens (owner)",,"","","yelp: https://www.yelp.com/biz/flagstaff-gardens-melbourne
",7202,4.6,"https://search.google.com/local/reviews?placeid=ChIJnQHt6Uld1moRgIUxBXZWBA8&q=park&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1082084875369022848","https://www.google.com/search?kgmid=/m/05jc35",-37.8105577,144.95451989999998,"https://www.melbourne.vic.gov.au/community/parks-open-spaces/Pages/parks-open-spaces.aspx","melbourne.vic.gov.au","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipMkmycgPe3Szmumk9arqnKsctofKdivtYuX6a3b=w115-h92-k-no","1082084875369022848","0x6ad65d49e9ed019d:0xf04567605318580","ChIJnQHt6Uld1moRgIUxBXZWBA8","/m/05jc35"
