"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"North Melbourne Primary School",,"210 Errol St, North Melbourne VIC 3051","210 Errol St","North Melbourne VIC 3051","Primary school","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ66X22+GF","Australia/Melbourne",,,,,"(03) 9329 6902","(03) 9329 6902, +61 3 9329 6902","NO","North Melbourne Primary School (owner)",,"","","",53,3.8,"https://search.google.com/local/reviews?placeid=ChIJlWTh9i9d1moRswc-S6sPnx8&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2278557164848940979","https://www.google.com/search?kgmid=/g/1v3kn63p",-37.7987439,144.95119689999999,"https://www.northmelbourneps.vic.edu.au/","northmelbourneps.vic.edu.au","Thursday: [9 am-4 pm], Friday: [9 am-4 pm], Saturday: [Closed], Sunday: [Closed], Monday: [9 am-4 pm], Tuesday: [9 am-4 pm], Wednesday: [9 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipOatrBeRLbC3NFl07n7lxxbNYKD8xTTZCszntBL=w92-h92-k-no","2278557164848940979","0x6ad65d2ff6e16495:0x1f9f0fab4b3e07b3","ChIJlWTh9i9d1moRswc-S6sPnx8","/g/1v3kn63p"
"North Melbourne primary school",,"175 Curzon St, North Melbourne VIC 3051","175 Curzon St","North Melbourne VIC 3051","Elementary school","Accessibility: [Wheelchair-accessible entrance]","4RJ66W2X+M9","Australia/Melbourne",,,,,,"","NO","North Melbourne primary school (owner)",,"",,"","","",,"https://www.google.com/maps?cid=17160418562372011989","https://www.google.com/search?kgmid=/g/11y4180483",-37.7982582,144.9484202,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yI5J70bERCjo8h9mjiu4eA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=236.68013&pitch=0&thumbfov=100","17160418562372011989","0x6ad65d00727234b7:0xee260dc33f3407d5","ChIJtzRycgBd1moR1Qc0P8MNJu4","/g/11y4180483"
"St. Michael’s Primary School",,"4/18 Brougham St, North Melbourne VIC 3051","4/18 Brougham St","North Melbourne VIC 3051","Primary school","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ66W4W+HF","Australia/Melbourne",,,,,"(03) 9329 9206","(03) 9329 9206, +61 3 9329 9206","NO","St. Michael’s Primary School (owner)",,"","","",23,4.6,"https://search.google.com/local/reviews?placeid=ChIJNWOSbSRd1moRmCOchqx-liI&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2492318723254002584","https://www.google.com/search?kgmid=/g/11gzn8428",-37.7936209,144.9462125,"http://www.smnthmelbourne.catholic.edu.au/","smnthmelbourne.catholic.edu.au","Thursday: [8 am-4:30 pm], Friday: [8 am-4:30 pm], Saturday: [Closed], Sunday: [Closed], Monday: [8 am-4:30 pm], Tuesday: [8 am-4:30 pm], Wednesday: [8 am-4:30 pm]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RycZnlVIzyGITEKjjz6gFg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=24.243227&pitch=0&thumbfov=100","2492318723254002584","0x6ad65d246d926335:0x22967eac869c2398","ChIJNWOSbSRd1moRmCOchqx-liI","/g/11gzn8428"
"North Melbourne Primary School (P -2) Molesworth st campus",,"25 Molesworth St, North Melbourne VIC 3051","25 Molesworth St","North Melbourne VIC 3051","Elementary school","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ66W2X+W3","Australia/Melbourne",,,,,"(03) 9329 6902","(03) 9329 6902, +61 3 9329 6902","NO","North Melbourne Primary School (P -2) Molesworth st campus (owner)",,"","","","","",,"https://www.google.com/maps?cid=11819443336771439224","https://www.google.com/search?kgmid=/g/11sty2mk8p",-37.7977223,144.9476511,"https://www.northmelbourneps.vic.edu.au/index.php/about/","northmelbourneps.vic.edu.au","Thursday: [9 am-3:30 pm], Friday: [9 am-3:30 pm], Saturday: [Closed], Sunday: [Closed], Monday: [9 am-3:30 pm], Tuesday: [9 am-3:30 pm], Wednesday: [9 am-3:30 pm]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mFveWFssVi3neellfA75mg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=216.43365&pitch=0&thumbfov=100","11819443336771439224","0x6ad65dbecfd1a88f:0xa4071917bb1e8a78","ChIJj6jRz75d1moReIoeuxcZB6Q","/g/11sty2mk8p"
"Docklands Primary School",,"17 Little Docklands Dr, Docklands VIC 3008","17 Little Docklands Dr","Docklands VIC 3008","Primary school","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ65WQR+2H","Australia/Melbourne",,,,,"(03) 9067 0100","(03) 9067 0100, +61 3 9067 0100","NO","Docklands Primary School (owner)",,"","","",23,4.7,"https://search.google.com/local/reviews?placeid=ChIJzxSj_0Jd1moRCblNNcnvuR8&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2286121933328988425","https://www.google.com/search?kgmid=/g/11dymv25h9",-37.8124585,144.9414471,"http://www.docklandsps.vic.edu.au/","docklandsps.vic.edu.au","Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [Closed], Sunday: [Closed], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm], Wednesday: [9 am-5 pm]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e7P7ACBcKa6YPwFlBWwnDA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=143.64474&pitch=0&thumbfov=100","2286121933328988425","0x6ad65d42ffa314cf:0x1fb9efc9354db909","ChIJzxSj_0Jd1moRCblNNcnvuR8","/g/11dymv25h9"
"State School",,"Queensberry St, North Melbourne VIC 3051","Queensberry St","North Melbourne VIC 3051","School","Accessibility: [Wheelchair-accessible entrance]","4RJ65WWW+RR","Australia/Melbourne",,,,,,"","NO","State School (owner)",,"",,"",1,5,"https://search.google.com/local/reviews?placeid=ChIJBVAnejld1moR2GIr5hEkjqk&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12217742498397381336","https://www.google.com/search?kgmid=/g/11kn709rt2",-37.802960999999996,144.94707169999998,,,"Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipNOr2m2tClMXr46GxopjS37K6MPsifSM3wVgPIa=w80-h142-k-no","12217742498397381336","0x6ad65d397a275005:0xa98e2411e62b62d8","ChIJBVAnejld1moR2GIr5hEkjqk","/g/11kn709rt2"
"St Joseph's School North Melbourne",,"385 Queensberry St, North Melbourne VIC 3051","385 Queensberry St","North Melbourne VIC 3051","School","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ65XW3+FV","Australia/Melbourne",,,,,"(03) 9269 6900","(03) 9269 6900, +61 3 9269 6900","YES","St Joseph's School North Melbourne (owner)","111283360845006410271","https://www.google.com/maps/contrib/111283360845006410271","","",17,4,"https://search.google.com/local/reviews?placeid=ChIJF0PAbjFd1moRU6x8Sy05rOA&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16189377627192863827","https://www.google.com/search?kgmid=/g/1pyqvnfj4",-37.803836,144.9547294,"https://www.stjosephs.vic.edu.au/","stjosephs.vic.edu.au","Thursday: [8 am-4 pm], Friday: [8 am-4 pm], Saturday: [Closed], Sunday: [Closed], Monday: [8 am-4 pm], Tuesday: [8 am-4 pm], Wednesday: [8 am-4 pm]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YOKNf3dE-rc-tb26-Hg_vg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.25156&pitch=0&thumbfov=100","16189377627192863827","0x6ad65d316ec04317:0xe0ac392d4b7cac53","ChIJF0PAbjFd1moRU6x8Sy05rOA","/g/1pyqvnfj4"
"Carlton North Primary School",,"6054/60 Lee St, Carlton North VIC 3054","6054/60 Lee St","Carlton North VIC 3054","Elementary school","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ66X5F+HC","Australia/Melbourne",,,,,"(03) 9347 4822","(03) 9347 4822, +61 3 9347 4822","NO","Carlton North Primary School (owner)",,"","","",13,4.3,"https://search.google.com/local/reviews?placeid=ChIJJflo9SVD1moRBjMlnr3ali4&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=3357111080188195590","https://www.google.com/search?kgmid=/g/1tdbl3tl",-37.791124599999996,144.9735316,"http://www.carltonnthps.vic.edu.au/","carltonnthps.vic.edu.au","","https://lh5.googleusercontent.com/p/AF1QipNCe2OD88FALxn4-wAM7VJZ4u8afsXFq9F-tM_k=w122-h92-k-no","3357111080188195590","0x6ad64325f568f925:0x2e96dabd9e253306","ChIJJflo9SVD1moRBjMlnr3ali4","/g/1tdbl3tl"
"Kensington Primary School",,"62-74 McCracken St, Kensington VIC 3031","62-74 McCracken St","Kensington VIC 3031","Primary school, State School","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ66W4G+WV","Australia/Melbourne",,,,,"(03) 9376 6013","(03) 9376 6013, +61 3 9376 6013","NO","Kensington Primary School (owner)",,"","","",30,3.8,"https://search.google.com/local/reviews?placeid=ChIJ9bS_-w9d1moRHYM7AAO70t0&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15984043649054507805","https://www.google.com/search?kgmid=/g/1tcvt_b_",-37.7926301,144.9272465,"http://www.kensingtonps.vic.edu.au/","kensingtonps.vic.edu.au","Thursday: [9 am-6 pm], Friday: [9 am-6 pm], Saturday: [9 am-5:30 pm], Sunday: [10 am-5 pm], Monday: [9 am-6 pm], Tuesday: [9 am-6 pm], Wednesday: [9 am-6 pm]","https://lh5.googleusercontent.com/p/AF1QipO7pQF4R-voh9vtp-6jxqe2QNb85eJhMS7Zsv6d=w184-h92-k-no","15984043649054507805","0x6ad65d0ffbbfb4f5:0xddd2bb03003b831d","ChIJ9bS_-w9d1moRHYM7AAO70t0","/g/1tcvt_b_"
"Carlton Primary School",,"150 Palmerston St, Carlton VIC 3053","150 Palmerston St","Carlton VIC 3053","Elementary school","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ66X3C+P2","Australia/Melbourne",,,,,"(03) 9347 6022","(03) 9347 6022, +61 3 9347 6022","YES","Carlton Primary School (owner)","114682689880322999515","https://www.google.com/maps/contrib/114682689880322999515","","",18,4.1,"https://search.google.com/local/reviews?placeid=ChIJyyK-KtZC1moRRyDxTNox-hs&q=school&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2015978596865220679","https://www.google.com/search?kgmid=/g/11g6vk53mp",-37.795744899999995,144.9700468,"http://carltonprimaryschool.vic.edu.au/","carltonprimaryschool.vic.edu.au","Thursday: [9 am-4 pm], Friday: [9 am-4 pm], Saturday: [Closed], Sunday: [Closed], Monday: [9 am-4 pm], Tuesday: [9 am-4 pm], Wednesday: [9 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipM99J6Npt2AS3LWEfRu7BYJ973NgZy8eVHZiQTv=w163-h92-k-no","2015978596865220679","0x6ad642d62abe22cb:0x1bfa31da4cf12047","ChIJyyK-KtZC1moRRyDxTNox-hs","/g/11g6vk53mp"
