"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Melbourne Central","Various retailers & dining options, plus a cinema, offered in a multilevel space with a glass dome.","Cnr LaTrobe and Swanston Streets, Melbourne VIC 3000","Cnr LaTrobe and Swanston Streets","Melbourne VIC 3000","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Offerings: [Arcade games], Amenities: [Toilets], Payments: [Debit cards, Mobile payments, ]","4RJ65XQ7+W4","Australia/Melbourne",,,,,"(03) 9922 1122","(03) 9922 1122, +61 3 9922 1122","YES","Melbourne Central (owner)","105818452438399271830","https://www.google.com/maps/contrib/105818452438399271830","","",23403,4.4,"https://search.google.com/local/reviews?placeid=ChIJybEw5cpC1moRFtDOajNMRFk&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6432349951510892566","https://www.google.com/search?kgmid=/m/0cjsmm",-37.8102361,144.9627652,"http://www.melbournecentral.com.au/","melbournecentral.com.au","Thursday: [10 am-9 pm], Friday: [10 am-9 pm], Saturday: [10 am-7 pm], Sunday: [10 am-7 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipMjV5-18wgSol9s9cZajVYqX3_MjP6jHkQ1XFC6=w163-h92-k-no","6432349951510892566","0x6ad642cae530b1c9:0x59444c336aced016","ChIJybEw5cpC1moRFtDOajNMRFk","/m/0cjsmm"
"Emporium Melbourne","Contemporary shopping mall offering a variety of upscale retailers, plus restaurants & a food court.","287 Lonsdale St, Melbourne VIC 3000","287 Lonsdale St","Melbourne VIC 3000","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, ], Offerings: [Arcade games], Amenities: [Toilets, ], Payments: [Debit cards, Mobile payments, ]","4RJ65XQ7+2G","Australia/Melbourne",,,,,"(03) 8609 8221","(03) 8609 8221, +61 3 8609 8221","YES","Emporium Melbourne (owner)","115605700965982823174","https://www.google.com/maps/contrib/115605700965982823174","","",15275,4.4,"https://search.google.com/local/reviews?placeid=ChIJe2e9iMpC1moROAFy3XgYaSM&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2551597571272474936","https://www.google.com/search?kgmid=/g/11gbkrjmb5",-37.8124234,144.9638295,"http://emporiummelbourne.com.au/","emporiummelbourne.com.au","Thursday: [10 am-9 pm], Friday: [10 am-9 pm], Saturday: [10 am-7 pm], Sunday: [10 am-7 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipOcWL1Erup2PyWNlfkQQtPoNf3cv7473mEYNBJU=w83-h92-k-no","2551597571272474936","0x6ad642ca88bd677b:0x23691878dd720138","ChIJe2e9iMpC1moROAFy3XgYaSM","/g/11gbkrjmb5"
"Bourke Street Mall","Lively pedestrian- & tram-only road lined with department stores, boutiques & eateries.","Bourke Street Mall, Melbourne VIC 3000","Melbourne VIC 3000","","Outlet mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ65XP7+FQ","Australia/Melbourne",,,,,,"","NO","Bourke Street Mall (owner)",,"","","",5907,4.4,"https://search.google.com/local/reviews?placeid=ChIJ54vBhLVC1moRmVsGnRiuOxo&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1890295889348942745","https://www.google.com/search?kgmid=/m/036syq",-37.813768499999995,144.9644379,"https://www.visitvictoria.com/regions/melbourne/destinations/bourke-street-mall","visitvictoria.com","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOSVX7nZSP70KDI3KiiDHHuBauKxyvywkYyUjDR=w122-h92-k-no","1890295889348942745","0x6ad642b584c18be7:0x1a3bae189d065b99","ChIJ54vBhLVC1moRmVsGnRiuOxo","/m/036syq"
"Collins Place",,"45 Collins St, Melbourne VIC 3000","45 Collins St","Melbourne VIC 3000","Shopping mall, Business center","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Payments: [Debit cards, Mobile payments, ]","4RJ65XPF+68","Australia/Melbourne",,,,,"(03) 9655 3600","(03) 9655 3600, +61 3 9655 3600","YES","Collins Place (owner)","114902536316880596800","https://www.google.com/maps/contrib/114902536316880596800","","",3246,4.2,"https://search.google.com/local/reviews?placeid=ChIJAVfi1sdC1moRAnN2DgG2qXI&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8262335107041751810","https://www.google.com/search?kgmid=/m/09v9l4b",-37.8144674,144.97332559999998,"https://www.collinsplace.com.au/","collinsplace.com.au","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOvmmkgXGVdPD8uFpDfQ9AQtt7CBgp2H_rt-hfg=w122-h92-k-no","8262335107041751810","0x6ad642c7d6e25701:0x72a9b6010e767302","ChIJAVfi1sdC1moRAnN2DgG2qXI","/m/09v9l4b"
"Melbourne's GPO","Retail gallery with brand-name shops & quaint restaurants in an elegant former post office.","350 Bourke St, Melbourne VIC 3000","350 Bourke St","Melbourne VIC 3000","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ65XP7+H8","Australia/Melbourne",,,,,"(03) 9290 0200","(03) 9290 0200, +61 3 9290 0200","YES","Melbourne's GPO (owner)","105496427554878393899","https://www.google.com/maps/contrib/105496427554878393899","","",2446,4.3,"https://search.google.com/local/reviews?placeid=ChIJlVWPC7VC1moRwANVqtx_3eQ&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16491477996227855296","https://www.google.com/search?kgmid=/m/042wdd2",-37.8135391,144.9632758,"http://www.melbournesgpo.com/","melbournesgpo.com","Thursday: [10 am-9 pm], Friday: [10 am-9 pm], Saturday: [10 am-7 pm], Sunday: [10 am-7 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipNsYnwITsQ3uSSLzV8CLNsBSVsFPyhvMYk47HO5=w122-h92-k-no","16491477996227855296","0x6ad642b50b8f5595:0xe4dd7fdcaa5503c0","ChIJlVWPC7VC1moRwANVqtx_3eQ","/m/042wdd2"
"The Clarendon Centre","Urban mall offering an underground carpark along with retail stores, restaurants & beauty services.","261 Clarendon St, South Melbourne VIC 3205","261 Clarendon St","South Melbourne VIC 3205","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ65X96+66","Australia/Melbourne",,,,,"(03) 9825 0700","(03) 9825 0700, +61 3 9825 0700","YES","The Clarendon Centre (owner)","116327343621609822317","https://www.google.com/maps/contrib/116327343621609822317","","",1132,4,"https://search.google.com/local/reviews?placeid=ChIJ2Wh-dQBo1moR7wU0yrrzF3o&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8797768380673426927","https://www.google.com/search?kgmid=/g/11bw4bf1y9",-37.8319085,144.96056149999998,"http://www.clarendoncentre.com.au/","clarendoncentre.com.au","Thursday: [8 am-9 pm], Friday: [8 am-9 pm], Saturday: [8 am-9 pm], Sunday: [8 am-9 pm], Monday: [8 am-9 pm], Tuesday: [8 am-9 pm], Wednesday: [8 am-9 pm]","https://lh5.googleusercontent.com/p/AF1QipNVnbzp165HkB0F3usVApNsAvKEYuybQNl0Nrp3=w138-h92-k-no","8797768380673426927","0x6ad66800757e68d9:0x7a17f3baca3405ef","ChIJ2Wh-dQBo1moR7wU0yrrzF3o","/g/11bw4bf1y9"
"The Strand Melbourne","Small retail gallery with striking decor & boutiques for clothing, shoes & accessories.","250 Elizabeth St, Melbourne VIC 3000","250 Elizabeth St","Melbourne VIC 3000","Shopping mall","Service options: [In-store shopping, On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: []","4RJ65XP7+V3","Australia/Melbourne",,,,,"(03) 9290 0200","(03) 9290 0200, +61 3 9290 0200","YES","The Strand Melbourne (owner)","106320871551850046575","https://www.google.com/maps/contrib/106320871551850046575","","",552,4.2,"https://search.google.com/local/reviews?placeid=ChIJH_0fYbVC1moR4QvBomAPj6U&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11929770845649570785","https://www.google.com/search?kgmid=/g/11cs01d6g7",-37.812782299999995,144.9627044,"http://www.thestrandmelbourne.com/","thestrandmelbourne.com","Thursday: [10 am-9 pm], Friday: [10 am-9 pm], Saturday: [10 am-7 pm], Sunday: [10 am-7 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipM6Zv1Oh_LHiXuX0EDmWGPc2bRyx-C6NBnPGvtZ=w122-h92-k-no","11929770845649570785","0x6ad642b5611ffd1f:0xa58f0f60a2c10be1","ChIJH_0fYbVC1moR4QvBomAPj6U","/g/11cs01d6g7"
"The Walk Arcade","Longtime mall with European-style architecture & tiled floors, offering diverse retailers & dining.","309-325 Bourke St, Melbourne VIC 3000","309-325 Bourke St","Melbourne VIC 3000","Outlet mall, Shopping mall","","4RJ65XP7+3W","Australia/Melbourne",,,,,,"","NO","The Walk Arcade (owner)",,"",,"",2269,4.2,"https://search.google.com/local/reviews?placeid=ChIJLREVo7VC1moRwl1sV9YlNkM&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4843100051803495874","https://www.google.com/search?kgmid=/g/1ptwzyjgd",-37.8148182,144.96486489999998,,,"Thursday: [7:30 am-9 pm], Friday: [7:30 am-9 pm], Saturday: [8 am-7 pm], Sunday: [8:30 am-7 pm], Monday: [7:30 am-7 pm], Tuesday: [7:30 am-7 pm], Wednesday: [7:30 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipP_ND0Licafci_3aSHkN97uzZr0AXFmkftoQzLg=w122-h92-k-no","4843100051803495874","0x6ad642b5a315112d:0x433625d6576c5dc2","ChIJLREVo7VC1moRwl1sV9YlNkM","/g/1ptwzyjgd"
"Midcity Centre",,"200 Bourke St, Melbourne VIC 3000","200 Bourke St","Melbourne VIC 3000","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible entrance]","4RJ65XP8+VX","Australia/Melbourne",,,,,"(03) 9275 7777","(03) 9275 7777, +61 3 9275 7777","NO","Midcity Centre (owner)",,"","","",280,4.1,"https://search.google.com/local/reviews?placeid=ChIJj1Iuy7FD1moRqP5dIrxPmsA&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=13878492871144636072","https://www.google.com/search?kgmid=/g/11fcss7s_n",-37.8128004,144.9674292,"https://www.midcitycentre.com.au/","midcitycentre.com.au","Thursday: [11 am-10 pm], Friday: [11 am-10 pm], Saturday: [11 am-10 pm], Sunday: [11 am-10 pm], Monday: [11 am-10 pm], Tuesday: [11 am-10 pm], Wednesday: [11 am-10 pm]","https://lh5.googleusercontent.com/p/AF1QipP751AvmdhSxConjcHl5XbWbooMq1xIGBlGRUVN=w122-h92-k-no","13878492871144636072","0x6ad643b1cb2e528f:0xc09a4fbc225dfea8","ChIJj1Iuy7FD1moRqP5dIrxPmsA","/g/11fcss7s_n"
"Midtown Melbourne",,"246 Bourke St, Melbourne VIC 3000","246 Bourke St","Melbourne VIC 3000","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible entrance, ], Amenities: []","4RJ65XP8+Q9","Australia/Melbourne",,,,,"(03) 9290 0200","(03) 9290 0200, +61 3 9290 0200","YES","Midtown Melbourne (owner)","102443199464477836632","https://www.google.com/maps/contrib/102443199464477836632","","",616,4.2,"https://search.google.com/local/reviews?placeid=ChIJ1xdPD8pC1moRK16t7ojQk4Y&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=9697323709197278763","https://www.google.com/search?kgmid=/g/11c72kzp0f",-37.8130765,144.9658905,"http://www.midtownmelbourne.com/","midtownmelbourne.com","Thursday: [8 am-8 pm], Friday: [8 am-8 pm], Saturday: [9 am-7 pm], Sunday: [9 am-7 pm], Monday: [8 am-8 pm], Tuesday: [8 am-8 pm], Wednesday: [8 am-8 pm]","https://lh5.googleusercontent.com/p/AF1QipPa1w9v28Sc6_wsgSbI-Q-Yn3zXicgMkOZeoPjh=w138-h92-k-no","9697323709197278763","0x6ad642ca0f4f17d7:0x8693d088eead5e2b","ChIJ1xdPD8pC1moRK16t7ojQk4Y","/g/11c72kzp0f"
"206 Bourke Street","Prominent shopping district offering creative retail shops, specialty stores & Chinese restaurants.","206 Bourke St, Melbourne VIC 3000","206 Bourke St","Melbourne VIC 3000","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Amenities: []","4RJ65XP8+VQ","Australia/Melbourne",,,,,"(03) 9290 0200","(03) 9290 0200, +61 3 9290 0200","YES","206 Bourke Street (owner)","115271200080904437822","https://www.google.com/maps/contrib/115271200080904437822","","",679,4.2,"https://search.google.com/local/reviews?placeid=ChIJjTN59MlC1moR-tX8iZUagZc&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10917036201290290682","https://www.google.com/search?kgmid=/g/11c5t3t_xn",-37.812798699999995,144.9669486,"http://www.206bourkestreet.com/","206bourkestreet.com","Thursday: [10 am-9 pm], Friday: [10 am-9 pm], Saturday: [10 am-7 pm], Sunday: [10 am-7 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipPzK1PRUHe3K_2AKoAaTxzbuWKHWsDSViin90xL=w80-h120-k-no","10917036201290290682","0x6ad642c9f479338d:0x97811a9589fcd5fa","ChIJjTN59MlC1moR-tX8iZUagZc","/g/11c5t3t_xn"
"QV Melbourne","Contemporary shopping enter offering trendy stores, eateries, billiards, bowling & a turf courtyard.","Cnr Lonsdale Street and, Swanston St, Melbourne VIC 3000","Cnr Lonsdale Street and","Swanston St","Shopping mall","Service options: [In-store shopping, On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets], Payments: [Debit cards, ], Parking: [Paid multi-storey car park]","4RJ65XQ8+P7","Australia/Melbourne",,,,,"(03) 9207 9200","(03) 9207 9200, +61 3 9207 9200","YES","QV Melbourne (owner)","115209798179668107127","https://www.google.com/maps/contrib/115209798179668107127","","",10926,4.3,"https://search.google.com/local/reviews?placeid=ChIJJzQtz8tC1moR72Ai_C59eg0&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=971226310403842287","https://www.google.com/search?kgmid=/m/03v9lh",-37.810632,144.9656403,"https://www.qv.com.au/","qv.com.au","Thursday: [10 am-7 pm], Friday: [10 am-9 pm], Saturday: [10 am-6 pm], Sunday: [10 am-5 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipOFMJW0fQcwnlGL0WmPW77G69gCvm503Nmj01YI=w138-h92-k-no","971226310403842287","0x6ad642cbcf2d3427:0xd7a7d2efc2260ef","ChIJJzQtz8tC1moR72Ai_C59eg0","/m/03v9lh"
"Royal Arcade","Historical, Italianate-style arcade with a variety of retailers, along with a cafe & coffee shop.","335 Bourke St, Melbourne VIC 3000","335 Bourke St","Melbourne VIC 3000","Shopping mall","Service options: [On-site services], Accessibility: [Wheelchair-accessible entrance], Payments: [Debit cards, Mobile payments, ]","4RJ65XP7+5J","Australia/Melbourne",,,,,"0438 891 212","0438 891 212, +61 438 891 212","NO","Royal Arcade (owner)",,"","","",4360,4.4,"https://search.google.com/local/reviews?placeid=ChIJeaaLoLVC1moRb4lG29-HxpI&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10576290170452478319","https://www.google.com/search?kgmid=/m/01xmgf4",-37.8145388,144.96406249999998,"https://www.royalarcade.com.au/","royalarcade.com.au","Thursday: [7 am-7 pm], Friday: [7 am-8:30 pm], Saturday: [8 am-7 pm], Sunday: [9 am-7 pm], Monday: [7 am-7 pm], Tuesday: [7 am-7 pm], Wednesday: [7 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipOQ-pymFcENxe3zyhPwA4CPY93eazAU6rfexAIG=w80-h106-k-no","10576290170452478319","0x6ad642b5a08ba679:0x92c687dfdb46896f","ChIJeaaLoLVC1moRb4lG29-HxpI","/m/01xmgf4"
"Centrepoint",,"283-297 Bourke St, Melbourne VIC 3000","283-297 Bourke St","Melbourne VIC 3000","Shopping mall","Service options: [In-store shopping, On-site services], Accessibility: [Wheelchair-accessible entrance]","4RJ65XP8+93","Australia/Melbourne",,,,,"(03) 9654 1722","(03) 9654 1722, +61 3 9654 1722","NO","Centrepoint (owner)",,"",,"",462,4.1,"https://search.google.com/local/reviews?placeid=ChIJedl6kLVC1moRAx_W_I324uA&q=shopping+mall&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16204785498925178627","https://www.google.com/search?kgmid=/g/1td4z_8s",-37.814112099999996,144.96522769999999,,,"Thursday: [9 am-8:30 pm], Friday: [9 am-8:30 pm], Saturday: [10 am-7 pm], Sunday: [10 am-7 pm], Monday: [10 am-7 pm], Tuesday: [10 am-7 pm], Wednesday: [10 am-7 pm]","https://lh5.googleusercontent.com/p/AF1QipPo5uk4QN2CZ5-Wi8eb1QqCW1sSWCC5wbLD7cQq=w80-h106-k-no","16204785498925178627","0x6ad642b5907ad979:0xe0e2f68dfcd61f03","ChIJedl6kLVC1moRAx_W_I324uA","/g/1td4z_8s"
