"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"La Trobe St/Russell St",,"Melbourne VIC 3000","Melbourne VIC 3000","","Bus stop","Getting here: [24-hour public transport available]","4RJ65XR8+HG","Australia/Melbourne",,,,,,"","YES","La Trobe St/Russell St (owner)",,"",,"",1,5,"https://search.google.com/local/reviews?placeid=ChIJfzcNBMxC1moRecWrPb7rWzU&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=3844925909201831289","https://www.google.com/search?kgmid=/g/11cm6dqxw5",-37.8085011,144.9662957,,,"","https://lh5.googleusercontent.com/p/AF1QipO-D8KwPN7scfklpSgYoILISAB4og030QKIov_S=w122-h92-k-no","3844925909201831289","0x6ad642cc040d377f:0x355bebbe3dabc579","ChIJfzcNBMxC1moRecWrPb7rWzU","/g/11cm6dqxw5"
"Royal Park Station/Poplar Rd",,"Parkville VIC 3052","Parkville VIC 3052","","Bus Interchange","Accessibility: [Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ66X92+Q7","Australia/Melbourne",,,,,,"","YES","Royal Park Station/Poplar Rd (owner)",,"",,"",2,3,"https://search.google.com/local/reviews?placeid=ChIJxzZ_A9Bc1moRxVoXO1noOGg&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7510007848581421765","https://www.google.com/search?kgmid=/g/11cm6ds05k",-37.7806152,144.9506935,,,"","https://lh5.googleusercontent.com/p/AF1QipPRNfPZKyzPaLf90ekHMIa1b-FFEaeGkEWCNbat=w122-h92-k-no","7510007848581421765","0x6ad65cd0037f36c7:0x6838e8593b175ac5","ChIJxzZ_A9Bc1moRxVoXO1noOGg","/g/11cm6ds05k"
"Bourke St/Queen St",,"Melbourne VIC 3000","Melbourne VIC 3000","","Bus Interchange","Accessibility: [Wheelchair-accessible entrance, No wheelchair-accessible car park], Getting here: [24-hour public transport available]","4RJ65XP6+57","Australia/Melbourne",,,,,,"","YES","Bourke St/Queen St (owner)",,"",,"",2,4.5,"https://search.google.com/local/reviews?placeid=ChIJR_PFMUtd1moRt1UPKtUiFeE&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16218907931973735863","https://www.google.com/search?kgmid=/g/11cm6ds21k",-37.8146151,144.96068,,,"","https://lh5.googleusercontent.com/p/AF1QipN_-XVAb4Swx7lIhZbuC7Kq6BZ134chM9GmMd_S=w122-h92-k-no","16218907931973735863","0x6ad65d4b31c5f347:0xe11522d52a0f55b7","ChIJR_PFMUtd1moRt1UPKtUiFeE","/g/11cm6ds21k"
"Victoria Park Railway Station/Johnston St",,"Abbotsford VIC 3067","Abbotsford VIC 3067","","Bus stop","Getting here: [24-hour public transport available]","4RJ66X2V+3H","Australia/Melbourne",,,,,,"","YES","Victoria Park Railway Station/Johnston St (owner)",,"",,"",7,3.6,"https://search.google.com/local/reviews?placeid=ChIJkxi4qxxD1moR9I8DeHJob40&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10191479322611781620","https://www.google.com/search?kgmid=/g/11cm6dqt51",-37.7998707,144.9939779,,,"","https://lh5.googleusercontent.com/p/AF1QipMlf5o0Z6tsKMmGrJlFSl_FDKC_feOxDuLNE0NW=w137-h92-k-no","10191479322611781620","0x6ad6431cabb81893:0x8d6f687278038ff4","ChIJkxi4qxxD1moR9I8DeHJob40","/g/11cm6dqt51"
"West Footscray Railway Station/Sunshine Rd",,"West Footscray VIC 3011","West Footscray VIC 3011","","Bus stop","Getting here: [24-hour public transport available]","4RJ65VXM+3J","Australia/Melbourne",,,,,,"","YES","West Footscray Railway Station/Sunshine Rd (owner)",,"",,"",7,3,"https://search.google.com/local/reviews?placeid=ChIJaZqLdPdd1moRvqmwA-TFvm8&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8052090766890150334","https://www.google.com/search?kgmid=/g/11cm6drvjx",-37.802265999999996,144.8840761,,,"","https://lh5.googleusercontent.com/p/AF1QipO5tVfOzEe4r7vXfLEdE9VmoB4XnqtWgJg4pKhA=w80-h142-k-no","8052090766890150334","0x6ad65df7748b9a69:0x6fbec5e403b0a9be","ChIJaZqLdPdd1moRvqmwA-TFvm8","/g/11cm6drvjx"
"Southern Cross Station/Collins St",,"Docklands VIC 3008","Docklands VIC 3008","","Bus stop","Getting here: [24-hour public transport available]","4RJ65XJ3+89","Australia/Melbourne",,,,,,"","YES","Southern Cross Station/Collins St (owner)",,"",,"",9,4,"https://search.google.com/local/reviews?placeid=ChIJM6p20FFd1moRBHDAFTZ5t2w&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7833863350034395140","https://www.google.com/search?kgmid=/g/11cm6dqy0t",-37.8191802,144.9534027,,,"","https://lh5.googleusercontent.com/p/AF1QipMBBKBuTcS_hE_ANY7okTfz0rVF13BtBZuZIsJg=w122-h92-k-no","7833863350034395140","0x6ad65d51d076aa33:0x6cb7793615c07004","ChIJM6p20FFd1moRBHDAFTZ5t2w","/g/11cm6dqy0t"
"Middle Footscray Railway Station/Buckley St",,"Seddon VIC 3011","Seddon VIC 3011","","Bus stop","Getting here: [24-hour public transport available]","4RJ65VWV+J3","Australia/Melbourne",,,,,,"","YES","Middle Footscray Railway Station/Buckley St (owner)",,"",,"","","",,"https://www.google.com/maps?cid=4646613046355239860","https://www.google.com/search?kgmid=/g/11cm6drm_7",-37.8034362,144.89266089999998,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kGGasY0-5YUGYcH9XSrNXw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=205.68033&pitch=0&thumbfov=100","4646613046355239860","0x6ad65df48eded2af:0x407c15f264b323b4","ChIJr9LejvRd1moRtCOzZPIVfEA","/g/11cm6drm_7"
"Melbourne University/Swanston St",,"Parkville VIC 3052","Parkville VIC 3052","","Bus stop","Getting here: [24-hour public transport available]","4RJ65XX7+XH","Australia/Melbourne",,,,,,"","YES","Melbourne University/Swanston St (owner)",,"",,"",16,4.9,"https://search.google.com/local/reviews?placeid=ChIJvXjEn9NC1moRKxWhNFzt5bY&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=13179200864845370667","https://www.google.com/search?kgmid=/m/0z6vgmk",-37.8001078,144.96387629999998,,,"","https://lh5.googleusercontent.com/p/AF1QipPzRYYu8im5xLa2peBi3wfewUEG0uB-goPThOTd=w138-h92-k-no","13179200864845370667","0x6ad642d39fc478bd:0xb6e5ed5c34a1152b","ChIJvXjEn9NC1moRKxWhNFzt5bY","/m/0z6vgmk"
"Ascot Vale Station/McCully St",,"Ascot Vale VIC 3032","Ascot Vale VIC 3032","","Bus stop","Getting here: [24-hour public transport available]","4RJ66WFC+MJ","Australia/Melbourne",,,,,,"","YES","Ascot Vale Station/McCully St (owner)",,"",,"",1,3,"https://search.google.com/local/reviews?placeid=ChIJsamAuf5c1moRhscdwoiGwmM&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7188455877167138694","https://www.google.com/search?kgmid=/g/11cm6drxfh",-37.775839999999995,144.92161,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oHC8T7gT5kq_oMQ3_TPWGA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=214.29414&pitch=0&thumbfov=100","7188455877167138694","0x6ad65cfeb980a9b1:0x63c28688c21dc786","ChIJsamAuf5c1moRhscdwoiGwmM","/g/11cm6drxfh"
"North Melbourne",,"West Melbourne VIC 3003","West Melbourne VIC 3003","","Bus stop","Getting here: [24-hour public transport available]","4RJ65WVR+FJ","Australia/Melbourne",,,,,,"","YES","North Melbourne (owner)",,"",,"","","",,"https://www.google.com/maps?cid=481680585251632909","https://www.google.com/search?kgmid=/g/11c1nxh09j",-37.8063098,144.94151019999998,,,"","https://lh5.googleusercontent.com/p/AF1QipOxyYk2p6n3wQmFRRAclvKJwZqEFIcY0e5PVfYI=w122-h92-k-no","481680585251632909","0x6ad65d406724cb67:0x6af45f0b320370d","ChIJZ8skZ0Bd1moRDTcgs_BFrwY","/g/11c1nxh09j"
