"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Toilet 46 -Melbourne CBD",,"Russell Pl, Melbourne VIC 3000","Russell Pl","Melbourne VIC 3000","Public bathroom","Accessibility: [Wheelchair-accessible entrance]","4RJ65XP8+PQ","Australia/Melbourne",,,,,,"","NO","Toilet 46 -Melbourne CBD (owner)",,"",,"",9,4,"https://search.google.com/local/reviews?placeid=ChIJFS72hhRD1moReIs05kUbOjI&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=3619235237574511480","https://www.google.com/search?kgmid=/g/11j7ygd36h",-37.813201,144.9669653,,,"Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipNI7jb4jnpd3_EECxgp6y6IjBnBNiZQsJHml9KG=w163-h92-k-no","3619235237574511480","0x6ad6431486f62e15:0x323a1b45e6348b78","ChIJFS72hhRD1moReIs05kUbOjI","/g/11j7ygd36h"
"Public Toilet",,"Melbourne VIC 3000","Melbourne VIC 3000","","Public bathroom","","4RJ65XQ6+RV","Australia/Melbourne",,,,,,"","NO","Public Toilet (owner)",,"",,"facebook: https://www.facebook.com/ChangingPlacesAustralia/
","","",,"https://www.google.com/maps?cid=12165972445456705378","https://www.google.com/search?kgmid=/g/11vzf8l8v4",-37.8104708,144.9621623,,,"Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipMqS2p9-Gkq6Zta_CQs4DrdXM_NSQZPbvjobhiY=w122-h92-k-no","12165972445456705378","0x6ad64300602193bd:0xa8d6377b26a32762","ChIJvZMhYABD1moRYiejJns31qg","/g/11vzf8l8v4"
"Public Toilet (Exeloo)",,"Lonsdale St, Melbourne VIC 3000","Lonsdale St","Melbourne VIC 3000","Public wheelchair-accessible bathroom","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ65XQ9+XX","Australia/Melbourne",,,,,,"","NO","Public Toilet (Exeloo) (owner)",,"","","",3,3.7,"https://search.google.com/local/reviews?placeid=ChIJX8ZELM9C1moRA5RkfSjOovc&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=17844051346893083651","https://www.google.com/search?kgmid=/g/11c1ww4815",-37.810039599999996,144.9699022,"https://toiletmap.gov.au/Toilet/16974","toiletmap.gov.au","Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k2qabXjG3WBeP-1SJd3_UA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=109.32007&pitch=0&thumbfov=100","17844051346893083651","0x6ad642cf2c44c65f:0xf7a2ce287d649403","ChIJX8ZELM9C1moRA5RkfSjOovc","/g/11c1ww4815"
"Food Centre Toilet",,"206 Bourke St, Melbourne VIC 3000","206 Bourke St","Melbourne VIC 3000","Public bathroom","","4RJ65XP8+VQ","Australia/Melbourne",,,,,,"","NO","Food Centre Toilet (owner)",,"",,"",2,5,"https://search.google.com/local/reviews?placeid=ChIJRSGp479D1moRpi3cpE__mlE&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5880292981018996134","https://www.google.com/search?kgmid=/g/11sdr1frx9",-37.812807,144.9669915,,,"","https://lh5.googleusercontent.com/p/AF1QipNiyWywIpT4lxz0xfhFYw2-fi9Dj1Q_oHz-EuTU=w122-h92-k-no","5880292981018996134","0x6ad643bfe3a92145:0x519aff4fa4dc2da6","ChIJRSGp479D1moRpi3cpE__mlE","/g/11sdr1frx9"
"Public Toilet",,"183 Elizabeth & Bourke Street, Melbourne VIC 3000","183 Elizabeth & Bourke Street","Melbourne VIC 3000","Public bathroom","Accessibility: [Wheelchair-accessible entrance]","4RJ65XP7+J6","Australia/Melbourne",,,,,"(03) 9658 9658","(03) 9658 9658, +61 3 9658 9658","NO","Public Toilet (owner)",,"","","",24,3.5,"https://search.google.com/local/reviews?placeid=ChIJ87nwErVC1moRjsH-JV438yM&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2590475088172073358","https://www.google.com/search?kgmid=/g/11c5s9f5zn",-37.8134553,144.9630279,"https://toiletmap.gov.au/","toiletmap.gov.au","Tuesday: [7:30 am-6 pm], Wednesday: [7:30 am-6 pm], Thursday: [7:30 am-6 pm], Friday: [7:30 am-6 pm], Saturday: [8:30 am-5 pm], Sunday: [8:30 am-5 pm], Monday: [7:30 am-6 pm]","https://lh5.googleusercontent.com/p/AF1QipOpx7inhRwD4YR2IcqvNpubeCit6HgZAoIg58q3=w122-h92-k-no","2590475088172073358","0x6ad642b512f0b9f3:0x23f3375e25fec18e","ChIJ87nwErVC1moRjsH-JV438yM","/g/11c5s9f5zn"
"Public Toilet 146 Female toilet",,"499-511 Swanston St, Melbourne VIC 3000","499-511 Swanston St","Melbourne VIC 3000","Public bathroom","Accessibility: [Wheelchair-accessible entrance]","4RJ65XV7+73","Australia/Melbourne",,,,,,"","NO","Public Toilet 146 Female toilet (owner)",,"","","",11,2.4,"https://search.google.com/local/reviews?placeid=ChIJ0Uu3lcxC1moRhwIL5OlAf6M&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11781206523521991303","https://www.google.com/search?kgmid=/g/11dfprc8nc",-37.806814599999996,144.9626548,"https://toiletmap.gov.au/toilet/17333","toiletmap.gov.au","Tuesday: [5:30 am-12 am], Wednesday: [5:30 am-12 am], Thursday: [5:30 am-12 am], Friday: [5:30 am-12 am], Saturday: [5:30 am-12 am], Sunday: [8:30 am-11 pm], Monday: [5:30 am-12 am]","https://lh5.googleusercontent.com/p/AF1QipOQr-aj74D5jV-wKD2JrzbKfuk23kXSM2hqdMVU=w122-h92-k-no","11781206523521991303","0x6ad642cc95b74bd1:0xa37f40e9e40b0287","ChIJ0Uu3lcxC1moRhwIL5OlAf6M","/g/11dfprc8nc"
"Public Toilets",,"Melbourne VIC 3004","Melbourne VIC 3004","","Public bathroom","Accessibility: [Wheelchair-accessible entrance]","4RJ65XJC+HC","Australia/Melbourne",,,,,,"","NO","Public Toilets (owner)",,"","","",11,2.5,"https://search.google.com/local/reviews?placeid=ChIJraYe5eZD1moRBW76r0Dc8ic&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2878605282231610885","https://www.google.com/search?kgmid=/g/11mvvcxlpv",-37.818585399999996,144.9710871,"https://www.melbourne.vic.gov.au/Pages/home.aspx","melbourne.vic.gov.au","Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipNam5K_VQCR6WHdzhgtlcEwLe5p-oPtZUhJ0x8X=w91-h92-k-no","2878605282231610885","0x6ad643e6e51ea6ad:0x27f2dc40affa6e05","ChIJraYe5eZD1moRBW76r0Dc8ic","/g/11mvvcxlpv"
"Public Toilet",,"Little Collins St, Queen St, Melbourne VIC 3000","Little Collins St","Queen St","Public bathroom","","4RJ65XM6+MC","Australia/Melbourne",,,,,,"","NO","Public Toilet (owner)",,"",,"","","",,"https://www.google.com/maps?cid=3244077607339034476","https://www.google.com/search?kgmid=/g/11y3jdgypm",-37.8158257,144.9610866,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=okuR7FLfxUllA8haRastJA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=227.55681&pitch=0&thumbfov=100","3244077607339034476","0x6ad65d001e218265:0x2d054765613e076c","ChIJZYIhHgBd1moRbAc-YWVHBS0","/g/11y3jdgypm"
"Batman Park Public Toilet",,"32 Spencer St, Melbourne VIC 3000","32 Spencer St","Melbourne VIC 3000","Public bathroom","Accessibility: [Wheelchair-accessible entrance]","4RJ65XH4+C4","Australia/Melbourne",,,,,"(03) 9658 9658","(03) 9658 9658, +61 3 9658 9658","NO","Batman Park Public Toilet (owner)",,"","","",13,3.2,"https://search.google.com/local/reviews?placeid=ChIJo6TMf1Fd1moRq7lS1zco4Kw&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12457000789607627179","https://www.google.com/search?kgmid=/g/11d_tqt4jp",-37.8214336,144.9553264,"https://toiletmap.gov.au/Toilet/19310","toiletmap.gov.au","Tuesday: [6 am-12 am], Wednesday: [6 am-12 am], Thursday: [6 am-12 am], Friday: [6 am-12 am], Saturday: [6 am-12 am], Sunday: [6 am-12 am], Monday: [6 am-12 am]","https://lh5.googleusercontent.com/p/AF1QipOlHZwRCP4t9s0lz4nXjIRe7ngHyRBdyG35khhX=w89-h92-k-no","12457000789607627179","0x6ad65d517fcca4a3:0xace02837d752b9ab","ChIJo6TMf1Fd1moRq7lS1zco4Kw","/g/11d_tqt4jp"
"Public Toilet (Exeloo)",,"60 Market St, Melbourne VIC 3000","60 Market St","Melbourne VIC 3000","Public wheelchair-accessible bathroom","Accessibility: [Wheelchair-accessible entrance]","4RJ65XJ6+V8","Australia/Melbourne",,,,,,"","NO","Public Toilet (Exeloo) (owner)",,"",,"",11,2.1,"https://search.google.com/local/reviews?placeid=ChIJ-TucuExd1moRb8T87wSiXQY&q=toilets&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=458700879151547503","https://www.google.com/search?kgmid=/g/11c5xs3t3l",-37.8178256,144.9607964,,,"","https://lh5.googleusercontent.com/p/AF1QipNRT-SJloAHorXcT2LMzr9-WppckZQ1VHbDWP36=w80-h106-k-no","458700879151547503","0x6ad65d4cb89c3bf9:0x65da204effcc46f","ChIJ-TucuExd1moRb8T87wSiXQY","/g/11c5xs3t3l"
